control,value
modelo_interpretado,xgboost_refined
artefacto_congelado,../../models/xgboost_refined_validacion_externa.pkl
n_estimators,381
llamadas_fit,0
preprocesador_reajustado,False
hiperparametros_modificados,False
umbrales_modificados,False
periodos_interpretados,"202211,202212"
filas_predicciones,379104
filas_muestra_shap,12000
shap_rows_class_0,4000
shap_rows_class_1,4000
shap_rows_class_2,4000
horas_revision_especial,"8,18,19"
min_filas_estacion,500
min_soporte_clase_estacion,20
datos_2023_leidos,False
interpretacion_causal,False
