original_feature,mean_abs_shap_macro,mean_abs_shap_test_weighted,shap_macro_rank,shap_test_weighted_rank,total_gain_share,gain_rank,shap_macro_share
occupancy_ratio,1.7589601874351501,1.0676832690503568,1,1,0.677327080828874,1,0.5270610079350909
bikes_available,0.5478547836343447,0.3271321176200356,2,2,0.13640530505893347,2,0.164161131404246
light,0.14360307157039642,0.23242071125014258,3,3,0.016984320647199444,4,0.0430297286914907
occupancy_ratio_mean_previous_24h,0.1205948144197464,0.13252619188467582,4,4,0.00905879408576255,6,0.036135453715128586
docks_available,0.11815078556537628,0.045149819354110915,5,6,0.0066514326169880575,8,0.035403116325909395
hour,0.06021996587514877,0.07801495155452347,6,5,0.0198637613077964,3,0.01804452206405773
arrivals_count_lag_1h,0.03866308182477951,0.024795906995499,7,8,0.009426910190648235,5,0.011585141620606735
occupancy_ratio_lag_1h,0.036157120019197464,0.03291129935248231,8,7,0.005307043885445079,12,0.010834246424381262
net_flow_lag_24h,0.033965330881377064,0.017976931894712066,9,13,0.006248666483229786,9,0.01017749102968112
reservations_count,0.032010954494277634,0.007133515226122344,10,32,0.00402046380381457,17,0.009591874825387614
occupancy_ratio_mean_previous_3h,0.0239157701532046,0.018214452284781857,11,12,0.005108729766226315,13,0.007166205359583619
station_id,0.022702055051922798,0.022208337999544716,12,10,0.0071630136144852355,7,0.006802523504134453
net_flow_lag_1h,0.02150732201213638,0.0073450651871052606,13,31,0.0036529749643217854,20,0.0064445295002557275
net_flow_mean_previous_3h,0.02030103902022044,0.014437027110731476,14,17,0.0033830323890505797,23,0.00608307462815811
arrivals_count_lag_24h,0.019297913027306397,0.014741048163751396,15,16,0.0045701632575574835,14,0.005782494432717696
arrivals_count_mean_previous_24h,0.01893697523822387,0.0198976166053965,16,11,0.004330248870131475,15,0.005674341766003224
departures_count_lag_24h,0.01838154625147581,0.011648383684988516,17,24,0.0032202419344707234,26,0.005507911073777797
week_of_year,0.016935773193836212,0.013327837748475976,18,21,0.003119945633944337,27,0.005074694557310724
occupancy_ratio_lag_2h,0.01667332121481498,0.012584171373301558,19,22,0.002840817438241272,31,0.004996052524599799
departures_count_mean_previous_24h,0.016244469520946343,0.02445693198038471,20,9,0.00429954072370577,16,0.0048675498969452955
bikes_available_lag_1h,0.01615237584337592,0.007987981320526277,21,30,0.002507459282287211,34,0.004839954623970133
departures_count_lag_1h,0.01604849410553773,0.017492512329955967,22,14,0.0038480872344603357,18,0.004808827135217314
occupancy_ratio_lag_24h,0.014871755925317606,0.014786422980808447,23,15,0.003744872920920548,19,0.004456225174255994
relative_humidity_median_pct,0.014868964130679766,0.013669835789273941,24,19,0.0032665253916812406,25,0.004455388631106082
departures_count_mean_previous_3h,0.014271171763539314,0.009677832119786789,25,27,0.003330255509170345,24,0.0042762640268020026
arrivals_count_mean_previous_3h,0.014149646740406752,0.011713722201511416,26,23,0.00570261083319042,11,0.0042398498420813235
solar_radiation_median_w_m2,0.011366368271410465,0.009400547468605998,27,29,0.005962871184185893,10,0.0034058585069094444
net_flow_mean_previous_24h,0.011241621027390162,0.005207126226914768,28,37,0.0027191604237973275,32,0.0033684788046056987
day_of_week,0.011180703217784563,0.009515834468208704,29,28,0.003425859855271885,22,0.00335022517819546
temperature_median_c,0.010983744791398445,0.010995692203318577,30,26,0.0035628028943837913,21,0.0032912078636058973
n_relative_humidity,0.010950947180390358,0.013408896946300689,31,20,0.0016175364884957097,38,0.003281380272260017
capacity,0.01090951357036829,0.013759118996656598,32,18,0.0026349801080380137,33,0.003268964959840431
month,0.010540228181829056,0.005664641401635494,33,36,0.0007818801022781818,45,0.003158310989108438
barometric_pressure_median_mb,0.00905318045988679,0.006803721484730693,34,34,0.002148455704591596,35,0.0027127267872753495
bikes_available_lag_2h,0.008786801093568405,0.006129363345021789,35,35,0.0015559220568534629,39,0.002632907938441936
tipo_dia,0.007974215627958378,0.011238532182230688,36,25,0.00186684475446361,37,0.002389421975770813
n_temperature,0.007799491907159488,0.006984080775806423,37,33,0.0011217761709027714,43,0.002337067146450478
n_precipitation,0.006922810493657987,0.0028265010627461086,38,45,0.0004437849260612291,47,0.0020743752488516887
departures_count_lag_2h,0.006826608752210935,0.002829207009467389,39,44,0.0014295645275067429,42,0.0020455490211892372
wind_direction_cos_mean,0.006633355437467496,0.004406731936843919,40,39,0.0029096053472577547,29,0.0019876419192644363
wind_direction_sin_mean,0.005915886412064235,0.0042328397203375175,41,41,0.0029722125621911726,28,0.0017726569807806072
bikes_available_lag_24h,0.005879827619840701,0.005173237412027816,42,38,0.0014940921532662342,41,0.0017618521976422404
wind_speed_median_m_s,0.004895318920413653,0.004285059167876521,43,40,0.0028882243457329705,30,0.001466850553405187
net_flow_lag_2h,0.004293631451825301,0.0030276164127783565,44,43,0.0018791247416889657,36,0.0012865588072238753
arrivals_count_lag_2h,0.0032648551277816296,0.002231011080229307,45,46,0.001506723742398951,40,0.000978292656481219
precipitation_mean_l_m2,0.0029388810507953167,0.003067898501267332,46,42,0.0005151277750073025,46,0.0008806166392499015
uv_radiation_median_mw_m2,0.0024806471386303506,0.0017093833431874575,47,47,0.0009842982905410237,44,0.0007433098205163414
precipitation_max_l_m2,0.0010209146227377157,0.0006784913843777288,48,48,0.00019559122162401686,48,0.00030591044295347463
weather_available,7.828538552227352e-07,2.0438774818213094e-06,49,49,1.2619509246436313e-06,49,2.3457707851888425e-07
