hour,rows,errors,support_empty,false_negatives_empty,support_full,false_negatives_full,false_positives_empty,false_positives_full,error_rate,recall_empty,recall_full,critical_support,critical_false_negatives,critical_false_negative_rate
18,15840,1131,1754,538,149,92,415,86,0.07140151515151515,0.69327251995439,0.3825503355704698,1903,630,0.3310562270099842
17,15576,1021,1595,476,114,62,402,81,0.06554956343091936,0.7015673981191223,0.45614035087719296,1709,538,0.31480397893504974
14,15840,1036,1627,477,148,79,419,61,0.06540404040404041,0.706822372464659,0.46621621621621623,1775,556,0.3132394366197183
8,15840,1134,1944,533,214,118,395,89,0.0715909090909091,0.7258230452674896,0.44859813084112155,2158,651,0.3016682113067655
19,15840,1132,1778,479,187,108,443,102,0.07146464646464647,0.7305961754780652,0.42245989304812837,1965,587,0.29872773536895675
16,15576,961,1549,426,113,59,388,88,0.061697483307652796,0.7249838605551969,0.47787610619469023,1662,485,0.2918170878459687
13,15576,1044,1656,448,135,56,429,112,0.06702619414483821,0.7294685990338164,0.5851851851851853,1791,504,0.2814070351758794
20,15840,1089,1812,450,249,117,414,108,0.06875,0.7516556291390728,0.5301204819277108,2061,567,0.27510917030567683
12,15312,971,1685,416,188,66,395,94,0.06341431556948798,0.7531157270029674,0.648936170212766,1873,482,0.2573411639081687
15,15576,897,1536,374,119,50,384,89,0.05758859784283513,0.7565104166666666,0.5798319327731092,1655,424,0.25619335347432026
11,15576,982,1724,405,197,66,380,131,0.06304571135079609,0.7650812064965198,0.6649746192893401,1921,471,0.24518479958355024
9,16104,1126,1899,381,254,113,499,134,0.06992051664182812,0.7993680884676145,0.5551181102362205,2153,494,0.229447282861124
10,16104,1045,1797,368,235,68,474,135,0.06489071038251366,0.7952142459654981,0.7106382978723405,2032,436,0.21456692913385828
7,15840,878,1796,356,180,53,364,105,0.05542929292929293,0.8017817371937639,0.7055555555555555,1976,409,0.2069838056680162
21,15840,843,1857,334,296,98,295,116,0.05321969696969697,0.8201400107700593,0.6689189189189189,2153,432,0.20065025545750115
23,15840,952,1866,334,304,85,359,174,0.0601010101010101,0.8210075026795284,0.7203947368421053,2170,419,0.19308755760368665
22,16104,884,1904,312,323,100,325,147,0.05489319423745653,0.8361344537815126,0.6904024767801857,2227,412,0.1850022451728783
0,15840,797,1924,306,336,92,260,139,0.050315656565656564,0.840956340956341,0.7261904761904762,2260,398,0.17610619469026548
1,15840,697,1932,249,327,61,256,131,0.04400252525252525,0.8711180124223603,0.8134556574923547,2259,310,0.13722886232846393
2,15840,547,1965,197,343,59,186,105,0.03453282828282828,0.8997455470737914,0.8279883381924198,2308,256,0.11091854419410745
6,15840,612,1900,168,258,41,279,124,0.038636363636363635,0.911578947368421,0.8410852713178294,2158,209,0.0968489341983318
4,15840,400,1998,164,365,46,125,65,0.025252525252525252,0.9179179179179179,0.873972602739726,2363,210,0.08887008040626322
3,15840,464,1947,162,348,39,193,70,0.029292929292929294,0.9167950693374423,0.8879310344827587,2295,201,0.08758169934640522
5,15840,422,2015,152,340,41,139,90,0.026641414141414143,0.9245657568238214,0.8794117647058823,2355,193,0.08195329087048832
