station_id,rows,errors,support_empty,false_negatives_empty,support_full,false_negatives_full,false_positives_empty,false_positives_full,error_rate,recall_empty,recall_full,critical_support,critical_false_negatives,critical_false_negative_rate,station_number,station_name,address,latitude,longitude,capacity,enough_support_empty,enough_support_full
58,1436,183,275,79,22,15,68,21,0.12743732590529247,0.7127272727272727,0.31818181818181823,297,94,0.3164983164983165,54,Barceló,Calle Barceló nº 7,40.4266828,-3.700423,21,True,True
254,1436,181,211,93,1,1,85,2,0.12604456824512536,0.5592417061611374,0.0,212,94,0.44339622641509435,246,Santa Engracia 87,Calle Santa Engracia nº 87,40.43604,-3.69928,24,True,False
49,1436,167,123,76,40,17,51,23,0.11629526462395544,0.38211382113821135,0.575,163,93,0.5705521472392638,45,Puerta de Toledo,Glorieta de la Puerta de Toledo nº 1,40.4070358,-3.7110513,21,True,True
165,1436,197,465,65,82,27,82,23,0.1371866295264624,0.8602150537634409,0.6707317073170731,547,92,0.16819012797074953,141,Paseo de la Castellana - Glorieta de Emilio Castelar,Paseo de la Castellana nº 43,40.4355143,-3.6892368,12,True,True
57,1436,159,126,69,26,15,60,15,0.1107242339832869,0.45238095238095233,0.42307692307692313,152,84,0.5526315789473685,53,Plaza de Lavapiés,Calle Valencia nº 1,40.4083061,-3.7007111,24,True,True
63,1436,193,252,80,6,2,104,7,0.13440111420612813,0.6825396825396826,0.6666666666666667,258,82,0.3178294573643411,59,Plaza de Juan Pujol,Calle Espíritu Santo nº 30,40.4255495,-3.7043418,21,True,False
99,1436,161,346,73,14,8,72,8,0.11211699164345404,0.7890173410404624,0.4285714285714286,360,81,0.225,94,Biblioteca Nacional,Paseo de Recoletos nº 20,40.4232153,-3.690756,21,True,False
164,1436,167,346,76,4,3,83,5,0.11629526462395544,0.7803468208092486,0.25,350,79,0.2257142857142857,125,General Martínez Campos ,Calle Fernández de la Hoz nº 29,40.435285,-3.6948626,24,True,False
7,1436,156,318,79,0,0,77,0,0.10863509749303621,0.7515723270440251,,318,79,0.24842767295597484,6,Colegio Arquitectos,Calle Hortaleza nº 63,40.424148,-3.698447,24,True,False
157,1436,152,171,74,8,5,68,5,0.10584958217270195,0.5672514619883041,0.375,179,79,0.441340782122905,130,Santa Engracia 127,Calle Santa Engracia nº 127,40.44156,-3.70164,20,True,False
