model,fecha_hora_local,station_id,risk_class_1h,prediction,is_error,confidence,probability_0,probability_1,probability_2,station_number,station_name,address,latitude,longitude,capacity,bikes_available,docks_available,reservations_count,occupancy_ratio,wind_speed_median_m_s,temperature_median_c,relative_humidity_median_pct,precipitation_mean_l_m2,tipo_dia,net_flow_lag_1h,departures_count_lag_1h,arrivals_count_lag_1h,month,hour,is_false_negative_empty,is_false_negative_full,is_critical_false_negative,real_risk_name,predicted_name
xgboost_refined,2022-11-05 04:00:00,1,1,0,True,0.66526943,0.66526943,0.33447713,0.0002534117,1a,Puerta del Sol A,Puerta del Sol nº 1,40.4172137,-3.7018341,30,4,26,0,0.133333,0.505,6.6,76.0,0.0,sabado,-1.0,3.0,2.0,2022-11,4,True,False,True,riesgo_vaciado,estable
xgboost_refined,2022-11-06 02:00:00,1,1,0,True,0.95531285,0.95531285,0.044566482,0.00012066201,1a,Puerta del Sol A,Puerta del Sol nº 1,40.4172137,-3.7018341,30,6,23,0,0.2,0.525,7.9,74.0,0.0,domingo,0.0,0.0,0.0,2022-11,2,True,False,True,riesgo_vaciado,estable
xgboost_refined,2022-11-06 17:00:00,1,1,0,True,0.8870716,0.8870716,0.112714335,0.00021399464,1a,Puerta del Sol A,Puerta del Sol nº 1,40.4172137,-3.7018341,30,5,24,0,0.166667,0.975,20.4,37.0,0.0,domingo,1.0,1.0,2.0,2022-11,17,True,False,True,riesgo_vaciado,estable
xgboost_refined,2022-11-06 20:00:00,1,1,0,True,0.9158115,0.9158115,0.08375171,0.00043676005,1a,Puerta del Sol A,Puerta del Sol nº 1,40.4172137,-3.7018341,30,7,22,0,0.233333,0.545,15.5,52.0,0.0,domingo,3.0,1.0,4.0,2022-11,20,True,False,True,riesgo_vaciado,estable
xgboost_refined,2022-11-07 08:00:00,1,1,0,True,0.82623607,0.82623607,0.17324542,0.0005185131,1a,Puerta del Sol A,Puerta del Sol nº 1,40.4172137,-3.7018341,30,2,26,1,0.066667,0.495,7.6,81.0,0.0,laborable,1.0,0.0,1.0,2022-11,8,True,False,True,riesgo_vaciado,estable
xgboost_refined,2022-11-13 05:00:00,1,1,0,True,0.9080445,0.9080445,0.09178445,0.00017103052,1a,Puerta del Sol A,Puerta del Sol nº 1,40.4172137,-3.7018341,30,5,24,0,0.166667,0.515,11.3,86.0,0.0,domingo,-3.0,3.0,0.0,2022-11,5,True,False,True,riesgo_vaciado,estable
xgboost_refined,2022-11-14 00:00:00,1,1,0,True,0.8953982,0.8953982,0.10445897,0.00014286277,1a,Puerta del Sol A,Puerta del Sol nº 1,40.4172137,-3.7018341,30,6,23,0,0.2,0.47,11.7,89.0,0.0,laborable,1.0,1.0,2.0,2022-11,0,True,False,True,riesgo_vaciado,estable
xgboost_refined,2022-11-14 08:00:00,1,1,0,True,0.60709816,0.60709816,0.3921695,0.0007323319,1a,Puerta del Sol A,Puerta del Sol nº 1,40.4172137,-3.7018341,30,3,23,2,0.1,0.555,10.4,92.0,0.02,laborable,1.0,0.0,1.0,2022-11,8,True,False,True,riesgo_vaciado,estable
xgboost_refined,2022-11-21 00:00:00,1,1,0,True,0.9150191,0.9150191,0.08481805,0.00016279839,1a,Puerta del Sol A,Puerta del Sol nº 1,40.4172137,-3.7018341,30,5,24,0,0.166667,1.75,11.6,91.0,0.0,laborable,0.0,1.0,1.0,2022-11,0,True,False,True,riesgo_vaciado,estable
xgboost_refined,2022-11-21 22:00:00,1,1,0,True,0.6069905,0.6069905,0.3927582,0.00025131993,1a,Puerta del Sol A,Puerta del Sol nº 1,40.4172137,-3.7018341,30,4,24,0,0.133333,2.39,7.8,67.0,0.0,laborable,-1.0,2.0,1.0,2022-11,22,True,False,True,riesgo_vaciado,estable
xgboost_refined,2022-11-23 20:00:00,1,1,0,True,0.80454713,0.80454713,0.19495672,0.0004961816,1a,Puerta del Sol A,Puerta del Sol nº 1,40.4172137,-3.7018341,30,8,22,0,0.266667,0.955,13.8,92.0,0.0,laborable,-1.0,4.0,3.0,2022-11,20,True,False,True,riesgo_vaciado,estable
xgboost_refined,2022-11-25 00:00:00,1,1,0,True,0.99606776,0.99606776,0.0005035452,0.0034286818,1a,Puerta del Sol A,Puerta del Sol nº 1,40.4172137,-3.7018341,30,20,9,0,0.666667,0.85,12.4,98.0,1.42,laborable,0.0,0.0,0.0,2022-11,0,True,False,True,riesgo_vaciado,estable
xgboost_refined,2022-11-26 06:00:00,1,1,0,True,0.9967728,0.9967728,0.003073216,0.00015396532,1a,Puerta del Sol A,Puerta del Sol nº 1,40.4172137,-3.7018341,30,11,19,0,0.366667,0.505,4.2,83.0,0.0,sabado,0.0,0.0,0.0,2022-11,6,True,False,True,riesgo_vaciado,estable
xgboost_refined,2022-11-27 03:00:00,1,1,0,True,0.9501139,0.9501139,0.049532607,0.0003534917,1a,Puerta del Sol A,Puerta del Sol nº 1,40.4172137,-3.7018341,30,8,21,0,0.266667,0.515,5.5,83.0,0.0,domingo,-3.0,5.0,2.0,2022-11,3,True,False,True,riesgo_vaciado,estable
xgboost_refined,2022-11-01 05:00:00,10,1,0,True,0.6941507,0.6941507,0.30556467,0.0002846367,9,Plaza de San Miguel,Plaza de San Miguel nº 9,40.4156057,-3.7095084,24,3,17,0,0.125,0.495,14.3,88.0,0.0,festivo,-1.0,2.0,1.0,2022-11,5,True,False,True,riesgo_vaciado,estable
xgboost_refined,2022-11-02 06:00:00,10,1,0,True,0.8945585,0.8945585,0.10520698,0.00023451347,9,Plaza de San Miguel,Plaza de San Miguel nº 9,40.4156057,-3.7095084,24,4,18,0,0.166667,0.495,12.2,78.0,0.0,laborable,0.0,0.0,0.0,2022-11,6,True,False,True,riesgo_vaciado,estable
xgboost_refined,2022-11-02 08:00:00,10,1,0,True,0.5169144,0.5169144,0.4827446,0.0003410023,9,Plaza de San Miguel,Plaza de San Miguel nº 9,40.4156057,-3.7095084,24,3,18,0,0.125,0.52,11.2,84.0,0.0,laborable,-2.0,4.0,2.0,2022-11,8,True,False,True,riesgo_vaciado,estable
xgboost_refined,2022-11-02 11:00:00,10,1,0,True,0.6280649,0.6280649,0.3714815,0.0004536035,9,Plaza de San Miguel,Plaza de San Miguel nº 9,40.4156057,-3.7095084,24,3,17,0,0.125,0.865,15.9,67.0,0.0,laborable,0.0,4.0,4.0,2022-11,11,True,False,True,riesgo_vaciado,estable
xgboost_refined,2022-11-02 12:00:00,10,1,0,True,0.53257924,0.53257924,0.46697128,0.0004494591,9,Plaza de San Miguel,Plaza de San Miguel nº 9,40.4156057,-3.7095084,24,2,18,0,0.083333,1.08,17.3,62.0,0.0,laborable,0.0,2.0,2.0,2022-11,12,True,False,True,riesgo_vaciado,estable
xgboost_refined,2022-11-05 05:00:00,10,1,0,True,0.93284386,0.93284386,0.0669879,0.00016817421,9,Plaza de San Miguel,Plaza de San Miguel nº 9,40.4156057,-3.7095084,24,4,19,0,0.166667,0.565,5.9,78.0,0.0,sabado,1.0,0.0,1.0,2022-11,5,True,False,True,riesgo_vaciado,estable
xgboost_refined,2022-11-07 18:00:00,10,1,0,True,0.8858004,0.8858004,0.11380179,0.00039781246,9,Plaza de San Miguel,Plaza de San Miguel nº 9,40.4156057,-3.7095084,24,4,20,0,0.166667,0.59,17.9,45.0,0.0,laborable,1.0,5.0,6.0,2022-11,18,True,False,True,riesgo_vaciado,estable
xgboost_refined,2022-11-08 06:00:00,10,1,0,True,0.6653207,0.6653207,0.33417645,0.0005028533,9,Plaza de San Miguel,Plaza de San Miguel nº 9,40.4156057,-3.7095084,24,2,21,1,0.083333,0.5,10.9,77.0,0.0,laborable,0.0,0.0,0.0,2022-11,6,True,False,True,riesgo_vaciado,estable
xgboost_refined,2022-11-13 01:00:00,10,1,0,True,0.9521807,0.9521807,0.047469642,0.0003496877,9,Plaza de San Miguel,Plaza de San Miguel nº 9,40.4156057,-3.7095084,24,6,16,0,0.25,0.55,12.2,87.0,0.0,domingo,-4.0,8.0,4.0,2022-11,1,True,False,True,riesgo_vaciado,estable
xgboost_refined,2022-11-17 18:00:00,10,1,0,True,0.75543225,0.75543225,0.24420893,0.00035886376,9,Plaza de San Miguel,Plaza de San Miguel nº 9,40.4156057,-3.7095084,24,4,18,0,0.166667,2.38,15.9,78.0,0.0,laborable,1.0,2.0,3.0,2022-11,18,True,False,True,riesgo_vaciado,estable
xgboost_refined,2022-11-18 00:00:00,10,1,0,True,0.9924677,0.9924677,0.0072611733,0.0002710629,9,Plaza de San Miguel,Plaza de San Miguel nº 9,40.4156057,-3.7095084,24,8,15,0,0.333333,0.7,12.2,87.0,0.0,laborable,-1.0,2.0,1.0,2022-11,0,True,False,True,riesgo_vaciado,estable
xgboost_refined,2022-11-18 15:00:00,10,1,0,True,0.8291491,0.8291491,0.17059536,0.00025551257,9,Plaza de San Miguel,Plaza de San Miguel nº 9,40.4156057,-3.7095084,24,4,18,0,0.166667,2.415,14.3,50.0,0.0,laborable,0.0,1.0,1.0,2022-11,15,True,False,True,riesgo_vaciado,estable
xgboost_refined,2022-11-19 00:00:00,10,1,0,True,0.8224617,0.8224617,0.17718929,0.00034898496,9,Plaza de San Miguel,Plaza de San Miguel nº 9,40.4156057,-3.7095084,24,4,19,0,0.166667,2.115,8.3,68.0,0.0,sabado,0.0,3.0,3.0,2022-11,0,True,False,True,riesgo_vaciado,estable
xgboost_refined,2022-11-20 04:00:00,10,1,0,True,0.82029957,0.82029957,0.17947628,0.00022413542,9,Plaza de San Miguel,Plaza de San Miguel nº 9,40.4156057,-3.7095084,24,3,20,0,0.125,0.68,7.9,75.0,0.0,domingo,0.0,0.0,0.0,2022-11,4,True,False,True,riesgo_vaciado,estable
xgboost_refined,2022-11-21 09:00:00,10,1,0,True,0.89870715,0.89870715,0.100147866,0.0011450229,9,Plaza de San Miguel,Plaza de San Miguel nº 9,40.4156057,-3.7095084,24,7,16,1,0.291667,2.01,12.0,92.0,0.0,laborable,-3.0,5.0,2.0,2022-11,9,True,False,True,riesgo_vaciado,estable
xgboost_refined,2022-11-22 02:00:00,10,1,0,True,0.8224934,0.8224934,0.1772684,0.00023829384,9,Plaza de San Miguel,Plaza de San Miguel nº 9,40.4156057,-3.7095084,24,3,19,0,0.125,1.845,6.6,65.0,0.0,laborable,0.0,0.0,0.0,2022-11,2,True,False,True,riesgo_vaciado,estable
xgboost_refined,2022-11-22 07:00:00,10,1,0,True,0.7367849,0.7367849,0.26285306,0.00036204566,9,Plaza de San Miguel,Plaza de San Miguel nº 9,40.4156057,-3.7095084,24,4,18,0,0.166667,1.365,6.6,65.0,0.0,laborable,1.0,0.0,1.0,2022-11,7,True,False,True,riesgo_vaciado,estable
