original_feature,total_gain,split_count,mean_gain_per_split,total_gain_share,gain_rank
occupancy_ratio,2849262.75,2820.0,1010.3768617021277,0.677327080828874,1
bikes_available,573806.3125,1273.0,450.7512274155538,0.13640530505893347,2
hour,83559.4453125,4158.0,20.096066693722943,0.0198637613077964,3
light,71446.7109375,388.0,184.1410075708763,0.016984320647199444,4
arrivals_count_lag_1h,39655.5,1255.0,31.59800796812749,0.009426910190648235,5
occupancy_ratio_mean_previous_24h,38106.97265625,3529.0,10.798235380065174,0.00905879408576255,6
station_id,30132.13032102585,4154.0,7.253762715701938,0.0071630136144852355,7
docks_available,27980.099609375,1563.0,17.90153525871721,0.0066514326169880575,8
net_flow_lag_24h,26285.8125,2243.0,11.71904257690593,0.006248666483229786,9
solar_radiation_median_w_m2,25083.578125,2825.0,8.879142699115045,0.005962871184185893,10
arrivals_count_mean_previous_3h,23988.759765625,1348.0,17.795815849870177,0.00570261083319042,11
occupancy_ratio_lag_1h,22324.756950378418,1720.0,12.979509854871173,0.005307043885445079,12
occupancy_ratio_mean_previous_3h,21490.523315429688,2103.0,10.218983982610407,0.005108729766226315,13
arrivals_count_lag_24h,19224.974609375,1245.0,15.441746674196787,0.0045701632575574835,14
arrivals_count_mean_previous_24h,18215.744140625,1702.0,10.702552374045242,0.004330248870131475,15
departures_count_mean_previous_24h,18086.56640625,1752.0,10.323382651969178,0.00429954072370577,16
reservations_count,16912.59375,899.0,18.812673804226918,0.00402046380381457,17
departures_count_lag_1h,16187.4697265625,907.0,17.84726540966097,0.0038480872344603357,18
occupancy_ratio_lag_24h,15753.285552978516,1799.0,8.7566901350631,0.003744872920920548,19
net_flow_lag_1h,15366.705078125,1386.0,11.08708880095599,0.0036529749643217854,20
temperature_median_c,14987.384765625,1813.0,8.266621492346939,0.0035628028943837913,21
day_of_week,14411.31640625,1644.0,8.766007546380779,0.003425859855271885,22
net_flow_mean_previous_3h,14231.157207489014,1681.0,8.465887690356343,0.0033830323890505797,23
departures_count_mean_previous_3h,14009.14453125,1424.0,9.83788239554073,0.003330255509170345,24
relative_humidity_median_pct,13741.0556640625,1621.0,8.47690047135256,0.0032665253916812406,25
departures_count_lag_24h,13546.3583984375,1135.0,11.935117531662996,0.0032202419344707234,26
week_of_year,13124.44921875,1609.0,8.156898209291485,0.003119945633944337,27
wind_direction_sin_mean,12502.9912109375,1676.0,7.460018622277745,0.0029722125621911726,28
wind_direction_cos_mean,12239.6259765625,1623.0,7.54135919689618,0.0029096053472577547,29
wind_speed_median_m_s,12149.684066772461,1592.0,7.631711097218883,0.0028882243457329705,30
occupancy_ratio_lag_2h,11950.260864257812,1272.0,9.394859170014003,0.002840817438241272,31
net_flow_mean_previous_24h,11438.4951171875,1469.0,7.786586192775697,0.0027191604237973275,32
capacity,11084.3798828125,749.0,14.79890505048398,0.0026349801080380137,33
bikes_available_lag_1h,10547.947265625,714.0,14.773035386029411,0.002507459282287211,34
barometric_pressure_median_mb,9037.7529296875,1172.0,7.711393284716297,0.002148455704591596,35
net_flow_lag_2h,7904.777884483337,1016.0,7.780293193389111,0.0018791247416889657,36
tipo_dia,7853.120552062988,650.0,12.081723926250751,0.00186684475446361,37
n_relative_humidity,6804.37353515625,752.0,9.04836906270778,0.0016175364884957097,38
bikes_available_lag_2h,6545.1845703125,631.0,10.37271722711965,0.0015559220568534629,39
arrivals_count_lag_2h,6338.2255859375,749.0,8.462250448514686,0.001506723742398951,40
bikes_available_lag_24h,6285.089195251465,711.0,8.839787897681385,0.0014940921532662342,41
departures_count_lag_2h,6013.6455078125,778.0,7.729621475337404,0.0014295645275067429,42
n_temperature,4718.89453125,564.0,8.366834275265957,0.0011217761709027714,43
uv_radiation_median_mw_m2,4140.5762939453125,506.0,8.18295710265872,0.0009842982905410237,44
month,3289.078369140625,387.0,8.49891051457526,0.0007818801022781818,45
precipitation_mean_l_m2,2166.95068359375,273.0,7.937548291552198,0.0005151277750073025,46
n_precipitation,1866.837890625,239.0,7.8110371992677825,0.0004437849260612291,47
precipitation_max_l_m2,822.7794189453125,109.0,7.548435036195528,0.00019559122162401686,48
weather_available,5.308557510375977,1.0,5.308557510375977,1.2619509246436313e-06,49
