transformed_feature,original_feature,gain,total_gain,split_count
numeric__capacity,capacity,14.798905372619629,11084.3798828125,749.0
numeric__bikes_available,bikes_available,450.751220703125,573806.3125,1273.0
numeric__docks_available,docks_available,17.901535034179688,27980.099609375,1563.0
numeric__reservations_count,reservations_count,18.812673568725586,16912.59375,899.0
numeric__occupancy_ratio,occupancy_ratio,1010.3768920898438,2849262.75,2820.0
numeric__light,light,184.14100646972656,71446.7109375,388.0
numeric__weather_available,weather_available,5.308557510375977,5.308557510375977,1.0
numeric__uv_radiation_median_mw_m2,uv_radiation_median_mw_m2,7.91546630859375,2746.666748046875,347.0
numeric__wind_speed_median_m_s,wind_speed_median_m_s,7.633231163024902,12144.470703125,1591.0
numeric__wind_direction_sin_mean,wind_direction_sin_mean,7.460018634796143,12502.9912109375,1676.0
numeric__wind_direction_cos_mean,wind_direction_cos_mean,7.5413594245910645,12239.6259765625,1623.0
numeric__temperature_median_c,temperature_median_c,8.266621589660645,14987.384765625,1813.0
numeric__relative_humidity_median_pct,relative_humidity_median_pct,8.476900100708008,13741.0556640625,1621.0
numeric__barometric_pressure_median_mb,barometric_pressure_median_mb,7.711393356323242,9037.7529296875,1172.0
numeric__solar_radiation_median_w_m2,solar_radiation_median_w_m2,8.879142761230469,25083.578125,2825.0
numeric__precipitation_mean_l_m2,precipitation_mean_l_m2,7.9375481605529785,2166.95068359375,273.0
numeric__precipitation_max_l_m2,precipitation_max_l_m2,7.548435211181641,822.7794189453125,109.0
numeric__n_temperature,n_temperature,8.36683464050293,4718.89453125,564.0
numeric__n_relative_humidity,n_relative_humidity,9.048369407653809,6804.37353515625,752.0
numeric__n_precipitation,n_precipitation,7.811037063598633,1866.837890625,239.0
numeric__hour,hour,20.096067428588867,83559.4453125,4158.0
numeric__day_of_week,day_of_week,8.766007423400879,14411.31640625,1644.0
numeric__month,month,8.498910903930664,3289.078369140625,387.0
numeric__week_of_year,week_of_year,8.156898498535156,13124.44921875,1609.0
numeric__occupancy_ratio_lag_1h,occupancy_ratio_lag_1h,12.992937088012695,22269.89453125,1714.0
numeric__occupancy_ratio_lag_2h,occupancy_ratio_lag_2h,9.39870834350586,11908.1630859375,1267.0
numeric__occupancy_ratio_lag_24h,occupancy_ratio_lag_24h,8.781621932983398,15367.8388671875,1750.0
numeric__bikes_available_lag_1h,bikes_available_lag_1h,14.773035049438477,10547.947265625,714.0
numeric__bikes_available_lag_2h,bikes_available_lag_2h,10.372716903686523,6545.1845703125,631.0
numeric__bikes_available_lag_24h,bikes_available_lag_24h,8.777957916259766,6170.904296875,703.0
numeric__net_flow_lag_1h,net_flow_lag_1h,11.087088584899902,15366.705078125,1386.0
numeric__net_flow_lag_2h,net_flow_lag_2h,7.78214168548584,7898.8740234375,1015.0
numeric__net_flow_lag_24h,net_flow_lag_24h,11.719042778015137,26285.8125,2243.0
numeric__departures_count_lag_1h,departures_count_lag_1h,17.847265243530273,16187.4697265625,907.0
numeric__departures_count_lag_2h,departures_count_lag_2h,7.729621410369873,6013.6455078125,778.0
numeric__departures_count_lag_24h,departures_count_lag_24h,11.935117721557617,13546.3583984375,1135.0
numeric__arrivals_count_lag_1h,arrivals_count_lag_1h,31.598007202148438,39655.5,1255.0
numeric__arrivals_count_lag_2h,arrivals_count_lag_2h,8.462250709533691,6338.2255859375,749.0
numeric__arrivals_count_lag_24h,arrivals_count_lag_24h,15.441746711730957,19224.974609375,1245.0
numeric__occupancy_ratio_mean_previous_3h,occupancy_ratio_mean_previous_3h,10.236345291137695,21332.54296875,2084.0
numeric__occupancy_ratio_mean_previous_24h,occupancy_ratio_mean_previous_24h,10.798234939575195,38106.97265625,3529.0
numeric__net_flow_mean_previous_3h,net_flow_mean_previous_3h,8.467905044555664,14217.6123046875,1679.0
numeric__net_flow_mean_previous_24h,net_flow_mean_previous_24h,7.786586284637451,11438.4951171875,1469.0
numeric__departures_count_mean_previous_3h,departures_count_mean_previous_3h,9.837882041931152,14009.14453125,1424.0
numeric__departures_count_mean_previous_24h,departures_count_mean_previous_24h,10.323382377624512,18086.56640625,1752.0
numeric__arrivals_count_mean_previous_3h,arrivals_count_mean_previous_3h,17.79581642150879,23988.759765625,1348.0
numeric__arrivals_count_mean_previous_24h,arrivals_count_mean_previous_24h,10.702552795410156,18215.744140625,1702.0
numeric__missingindicator_uv_radiation_median_mw_m2,uv_radiation_median_mw_m2,8.76672649383545,1393.9095458984375,159.0
numeric__missingindicator_wind_speed_median_m_s,wind_speed_median_m_s,5.2133636474609375,5.2133636474609375,1.0
numeric__missingindicator_wind_direction_sin_mean,wind_direction_sin_mean,0.0,0.0,0.0
numeric__missingindicator_wind_direction_cos_mean,wind_direction_cos_mean,0.0,0.0,0.0
numeric__missingindicator_temperature_median_c,temperature_median_c,0.0,0.0,0.0
numeric__missingindicator_relative_humidity_median_pct,relative_humidity_median_pct,0.0,0.0,0.0
numeric__missingindicator_barometric_pressure_median_mb,barometric_pressure_median_mb,0.0,0.0,0.0
numeric__missingindicator_solar_radiation_median_w_m2,solar_radiation_median_w_m2,0.0,0.0,0.0
numeric__missingindicator_precipitation_mean_l_m2,precipitation_mean_l_m2,0.0,0.0,0.0
numeric__missingindicator_precipitation_max_l_m2,precipitation_max_l_m2,0.0,0.0,0.0
numeric__missingindicator_n_temperature,n_temperature,0.0,0.0,0.0
numeric__missingindicator_n_relative_humidity,n_relative_humidity,0.0,0.0,0.0
numeric__missingindicator_n_precipitation,n_precipitation,0.0,0.0,0.0
numeric__missingindicator_occupancy_ratio_lag_1h,occupancy_ratio_lag_1h,9.143736839294434,54.86241912841797,6.0
numeric__missingindicator_occupancy_ratio_lag_2h,occupancy_ratio_lag_2h,8.4195556640625,42.0977783203125,5.0
numeric__missingindicator_occupancy_ratio_lag_24h,occupancy_ratio_lag_24h,7.8662590980529785,385.4466857910156,49.0
numeric__missingindicator_bikes_available_lag_1h,bikes_available_lag_1h,0.0,0.0,0.0
numeric__missingindicator_bikes_available_lag_2h,bikes_available_lag_2h,0.0,0.0,0.0
numeric__missingindicator_bikes_available_lag_24h,bikes_available_lag_24h,14.273112297058105,114.18489837646484,8.0
numeric__missingindicator_net_flow_lag_1h,net_flow_lag_1h,0.0,0.0,0.0
numeric__missingindicator_net_flow_lag_2h,net_flow_lag_2h,5.903861045837402,5.903861045837402,1.0
numeric__missingindicator_net_flow_lag_24h,net_flow_lag_24h,0.0,0.0,0.0
numeric__missingindicator_departures_count_lag_1h,departures_count_lag_1h,0.0,0.0,0.0
numeric__missingindicator_departures_count_lag_2h,departures_count_lag_2h,0.0,0.0,0.0
numeric__missingindicator_departures_count_lag_24h,departures_count_lag_24h,0.0,0.0,0.0
numeric__missingindicator_arrivals_count_lag_1h,arrivals_count_lag_1h,0.0,0.0,0.0
numeric__missingindicator_arrivals_count_lag_2h,arrivals_count_lag_2h,0.0,0.0,0.0
numeric__missingindicator_arrivals_count_lag_24h,arrivals_count_lag_24h,0.0,0.0,0.0
numeric__missingindicator_occupancy_ratio_mean_previous_3h,occupancy_ratio_mean_previous_3h,8.3147554397583,157.9803466796875,19.0
numeric__missingindicator_occupancy_ratio_mean_previous_24h,occupancy_ratio_mean_previous_24h,0.0,0.0,0.0
numeric__missingindicator_net_flow_mean_previous_3h,net_flow_mean_previous_3h,6.772451400756836,13.544902801513672,2.0
numeric__missingindicator_net_flow_mean_previous_24h,net_flow_mean_previous_24h,0.0,0.0,0.0
numeric__missingindicator_departures_count_mean_previous_3h,departures_count_mean_previous_3h,0.0,0.0,0.0
numeric__missingindicator_departures_count_mean_previous_24h,departures_count_mean_previous_24h,0.0,0.0,0.0
numeric__missingindicator_arrivals_count_mean_previous_3h,arrivals_count_mean_previous_3h,0.0,0.0,0.0
numeric__missingindicator_arrivals_count_mean_previous_24h,arrivals_count_mean_previous_24h,0.0,0.0,0.0
categorical__station_id_1,station_id,13.481110572814941,53.924442291259766,4.0
categorical__station_id_2,station_id,6.660341739654541,159.84820556640625,24.0
categorical__station_id_3,station_id,7.253563404083252,195.84620666503906,27.0
categorical__station_id_4,station_id,7.1078643798828125,227.45166015625,32.0
categorical__station_id_5,station_id,6.670670986175537,53.3653678894043,8.0
categorical__station_id_6,station_id,6.424221992492676,25.696887969970703,4.0
categorical__station_id_7,station_id,6.618869304656982,59.56982421875,9.0
categorical__station_id_8,station_id,6.673750400543213,106.7800064086914,16.0
categorical__station_id_9,station_id,6.898131370544434,186.24954223632812,27.0
categorical__station_id_10,station_id,6.142849922180176,24.571399688720703,4.0
categorical__station_id_11,station_id,7.1098737716674805,241.73570251464844,34.0
categorical__station_id_12,station_id,7.411035060882568,281.61932373046875,38.0
categorical__station_id_13,station_id,6.640737056732178,119.53326416015625,18.0
categorical__station_id_14,station_id,6.847249507904053,89.01424407958984,13.0
categorical__station_id_15,station_id,6.708384037017822,60.375457763671875,9.0
categorical__station_id_16,station_id,6.9803924560546875,90.74510192871094,13.0
categorical__station_id_17,station_id,6.313856601715088,88.39398956298828,14.0
categorical__station_id_18,station_id,7.274432182312012,218.23297119140625,30.0
categorical__station_id_19,station_id,7.42952299118042,133.73141479492188,18.0
categorical__station_id_20,station_id,6.860027313232422,6.860027313232422,1.0
categorical__station_id_21,station_id,8.408738136291504,210.2184600830078,25.0
categorical__station_id_23,station_id,0.0,0.0,0.0
categorical__station_id_24,station_id,0.0,0.0,0.0
categorical__station_id_25,station_id,7.458475112915039,82.04322814941406,11.0
categorical__station_id_26,station_id,6.426819801330566,83.54866027832031,13.0
categorical__station_id_27,station_id,7.0612311363220215,105.91846466064453,15.0
categorical__station_id_28,station_id,7.267979145050049,58.14383316040039,8.0
categorical__station_id_29,station_id,7.471949100494385,44.831695556640625,6.0
categorical__station_id_30,station_id,6.96615743637085,153.25546264648438,22.0
categorical__station_id_31,station_id,6.763026714324951,196.12777709960938,29.0
categorical__station_id_32,station_id,6.882421970367432,75.7066421508789,11.0
categorical__station_id_33,station_id,5.989232540130615,17.967697143554688,3.0
categorical__station_id_34,station_id,6.454771041870117,6.454771041870117,1.0
categorical__station_id_35,station_id,6.762521743774414,40.575130462646484,6.0
categorical__station_id_36,station_id,6.92529821395874,69.25298309326172,10.0
categorical__station_id_37,station_id,7.758223056793213,356.8782653808594,46.0
categorical__station_id_38,station_id,7.1684956550598145,222.22335815429688,31.0
categorical__station_id_39,station_id,7.860867023468018,86.46953582763672,11.0
categorical__station_id_40,station_id,8.11648941040039,16.23297882080078,2.0
categorical__station_id_41,station_id,7.406198978424072,385.1223449707031,52.0
categorical__station_id_42,station_id,8.653593063354492,986.5095825195312,114.0
categorical__station_id_43,station_id,7.326116561889648,227.109619140625,31.0
categorical__station_id_44,station_id,7.017627716064453,56.141021728515625,8.0
categorical__station_id_45,station_id,6.3545942306518555,50.836753845214844,8.0
categorical__station_id_46,station_id,7.693328380584717,430.8263854980469,56.0
categorical__station_id_47,station_id,6.740412712097168,195.4719696044922,29.0
categorical__station_id_48,station_id,7.73239278793335,533.5350952148438,69.0
categorical__station_id_49,station_id,8.448525428771973,380.1836242675781,45.0
categorical__station_id_50,station_id,6.313754558563232,31.56877326965332,5.0
categorical__station_id_51,station_id,6.596052646636963,52.7684211730957,8.0
categorical__station_id_52,station_id,7.279306888580322,94.63098907470703,13.0
categorical__station_id_53,station_id,7.277796268463135,123.7225341796875,17.0
categorical__station_id_54,station_id,9.050084114074707,45.25041961669922,5.0
categorical__station_id_55,station_id,7.295185089111328,196.97000122070312,27.0
categorical__station_id_56,station_id,7.083927154541016,120.42676544189453,17.0
categorical__station_id_57,station_id,6.642297267913818,92.9921646118164,14.0
categorical__station_id_58,station_id,6.728272914886475,127.8371810913086,19.0
categorical__station_id_59,station_id,7.7074294090271,223.5154571533203,29.0
categorical__station_id_60,station_id,5.999080657958984,41.99356460571289,7.0
categorical__station_id_61,station_id,0.0,0.0,0.0
categorical__station_id_62,station_id,7.569093704223633,68.12184143066406,9.0
categorical__station_id_63,station_id,7.234782695770264,296.6260986328125,41.0
