prediction_row_index,fecha_hora_local,station_id,risk_class_1h,prediction,is_error,probability_0,probability_1,probability_2
112515,2022-11-12 01:00:00,243,2,2,False,0.3509283,0.0007745154,0.6482972
356855,2022-12-05 06:00:00,71,2,0,True,0.7205741,0.00084213633,0.27858374
352719,2022-12-13 04:00:00,64,0,0,False,0.9978492,0.0010445727,0.001106216
188200,2022-11-07 14:00:00,99,0,0,False,0.81957567,0.0014841248,0.1789402
276367,2022-12-16 06:00:00,208,0,0,False,0.99706227,0.002395847,0.0005418222
331911,2022-12-17 18:00:00,38,1,1,False,0.0028777153,0.99693286,0.0001894424
22853,2022-11-29 21:00:00,127,0,0,False,0.9939109,0.005039956,0.001049102
145761,2022-11-26 21:00:00,42,0,0,False,0.8687173,0.0023640285,0.12891868
65755,2022-11-29 23:00:00,181,2,0,True,0.58428675,0.0012601631,0.4144531
30670,2022-11-27 21:00:00,137,0,0,False,0.9457297,0.053947087,0.00032324105
50557,2022-11-22 08:00:00,162,2,0,True,0.8280628,0.010328687,0.16160858
62416,2022-11-10 00:00:00,178,0,0,False,0.99433845,0.0054007135,0.0002608927
77534,2022-11-14 07:00:00,197,1,0,True,0.9745787,0.024973802,0.00044747468
43122,2022-11-10 11:00:00,153,2,0,True,0.7059017,0.00102459,0.2930737
52535,2022-11-15 09:00:00,165,2,2,False,0.094999276,0.0012751952,0.9037255
154477,2022-11-02 13:00:00,54,1,0,True,0.61833084,0.3813377,0.00033145805
244498,2022-12-10 05:00:00,169,0,0,False,0.99607253,0.0026343048,0.0012932325
9323,2022-11-02 04:00:00,110,0,0,False,0.9922735,0.0076024616,0.00012395518
173659,2022-11-27 10:00:00,8,1,1,False,0.31710005,0.6825306,0.00036933247
302499,2022-12-24 12:00:00,243,0,0,False,0.9953572,0.002237247,0.0024055091
149493,2022-11-03 13:00:00,48,1,1,False,0.1806699,0.81877255,0.000557549
108972,2022-11-13 09:00:00,238,2,2,False,0.1831437,0.0005186046,0.81633765
186399,2022-11-22 00:00:00,96,1,1,False,0.05115694,0.94874406,9.9051686e-05
239916,2022-12-30 12:00:00,162,0,0,False,0.99537873,0.0042784093,0.0003428588
98682,2022-11-01 12:00:00,224,2,2,False,0.20383276,0.000755408,0.7954118
347353,2022-12-30 20:00:00,57,2,0,True,0.66306275,0.0013013008,0.3356359
300138,2022-12-15 08:00:00,240,0,0,False,0.96869284,0.030384725,0.0009223729
27315,2022-11-07 04:00:00,133,2,2,False,0.0597143,0.00036116102,0.9399246
3573,2022-11-30 22:00:00,102,1,0,True,0.8340229,0.16579702,0.00018013225
186294,2022-11-17 15:00:00,96,1,0,True,0.9610614,0.0386729,0.00026565758
47980,2022-11-04 06:00:00,16,1,1,False,0.0011517868,0.99877673,7.143512e-05
66447,2022-11-29 00:00:00,182,2,0,True,0.89355665,0.0004955632,0.1059478
106150,2022-11-14 23:00:00,234,2,2,False,0.18072712,0.00061424484,0.8186586
3638,2022-11-03 18:00:00,103,1,1,False,0.46671194,0.5329124,0.00037567763
