original_feature,mean_abs_shap_macro,mean_abs_shap_test_weighted,shap_macro_rank,shap_test_weighted_rank
occupancy_ratio,1.7589601874351501,1.0676832690503568,1,1
bikes_available,0.5478547836343447,0.3271321176200356,2,2
light,0.14360307157039642,0.23242071125014258,3,3
occupancy_ratio_mean_previous_24h,0.1205948144197464,0.13252619188467582,4,4
docks_available,0.11815078556537628,0.045149819354110915,5,6
hour,0.06021996587514877,0.07801495155452347,6,5
arrivals_count_lag_1h,0.03866308182477951,0.024795906995499,7,8
occupancy_ratio_lag_1h,0.036157120019197464,0.03291129935248231,8,7
net_flow_lag_24h,0.033965330881377064,0.017976931894712066,9,13
reservations_count,0.032010954494277634,0.007133515226122344,10,32
occupancy_ratio_mean_previous_3h,0.0239157701532046,0.018214452284781857,11,12
station_id,0.022702055051922798,0.022208337999544716,12,10
net_flow_lag_1h,0.02150732201213638,0.0073450651871052606,13,31
net_flow_mean_previous_3h,0.02030103902022044,0.014437027110731476,14,17
arrivals_count_lag_24h,0.019297913027306397,0.014741048163751396,15,16
arrivals_count_mean_previous_24h,0.01893697523822387,0.0198976166053965,16,11
departures_count_lag_24h,0.01838154625147581,0.011648383684988516,17,24
week_of_year,0.016935773193836212,0.013327837748475976,18,21
occupancy_ratio_lag_2h,0.01667332121481498,0.012584171373301558,19,22
departures_count_mean_previous_24h,0.016244469520946343,0.02445693198038471,20,9
bikes_available_lag_1h,0.01615237584337592,0.007987981320526277,21,30
departures_count_lag_1h,0.01604849410553773,0.017492512329955967,22,14
occupancy_ratio_lag_24h,0.014871755925317606,0.014786422980808447,23,15
relative_humidity_median_pct,0.014868964130679766,0.013669835789273941,24,19
departures_count_mean_previous_3h,0.014271171763539314,0.009677832119786789,25,27
arrivals_count_mean_previous_3h,0.014149646740406752,0.011713722201511416,26,23
solar_radiation_median_w_m2,0.011366368271410465,0.009400547468605998,27,29
net_flow_mean_previous_24h,0.011241621027390162,0.005207126226914768,28,37
day_of_week,0.011180703217784563,0.009515834468208704,29,28
temperature_median_c,0.010983744791398445,0.010995692203318577,30,26
n_relative_humidity,0.010950947180390358,0.013408896946300689,31,20
capacity,0.01090951357036829,0.013759118996656598,32,18
month,0.010540228181829056,0.005664641401635494,33,36
barometric_pressure_median_mb,0.00905318045988679,0.006803721484730693,34,34
bikes_available_lag_2h,0.008786801093568405,0.006129363345021789,35,35
tipo_dia,0.007974215627958378,0.011238532182230688,36,25
n_temperature,0.007799491907159488,0.006984080775806423,37,33
n_precipitation,0.006922810493657987,0.0028265010627461086,38,45
departures_count_lag_2h,0.006826608752210935,0.002829207009467389,39,44
wind_direction_cos_mean,0.006633355437467496,0.004406731936843919,40,39
wind_direction_sin_mean,0.005915886412064235,0.0042328397203375175,41,41
bikes_available_lag_24h,0.005879827619840701,0.005173237412027816,42,38
wind_speed_median_m_s,0.004895318920413653,0.004285059167876521,43,40
net_flow_lag_2h,0.004293631451825301,0.0030276164127783565,44,43
arrivals_count_lag_2h,0.0032648551277816296,0.002231011080229307,45,46
precipitation_mean_l_m2,0.0029388810507953167,0.003067898501267332,46,42
uv_radiation_median_mw_m2,0.0024806471386303506,0.0017093833431874575,47,47
precipitation_max_l_m2,0.0010209146227377157,0.0006784913843777288,48,48
weather_available,7.828538552227352e-07,2.0438774818213094e-06,49,49
