class_value,class_name,transformed_feature,original_feature,mean_abs_shap,mean_signed_shap
0,estable,numeric__capacity,capacity,0.014863642,-0.001096766
0,estable,numeric__bikes_available,bikes_available,0.1991233,-0.02486599
0,estable,numeric__docks_available,docks_available,0.03972118,-0.008925832
0,estable,numeric__reservations_count,reservations_count,0.0050713182,-0.00040063114
0,estable,numeric__occupancy_ratio,occupancy_ratio,0.9694336,-0.35866043
0,estable,numeric__light,light,0.2514112,-0.055869374
0,estable,numeric__weather_available,weather_available,2.3484704e-06,2.3484704e-06
0,estable,numeric__uv_radiation_median_mw_m2,uv_radiation_median_mw_m2,0.00037717615,0.00026646192
0,estable,numeric__wind_speed_median_m_s,wind_speed_median_m_s,0.0041238284,0.0019353371
0,estable,numeric__wind_direction_sin_mean,wind_direction_sin_mean,0.0041345255,0.0013393343
0,estable,numeric__wind_direction_cos_mean,wind_direction_cos_mean,0.004213435,0.00078232517
0,estable,numeric__temperature_median_c,temperature_median_c,0.01054053,0.00840805
0,estable,numeric__relative_humidity_median_pct,relative_humidity_median_pct,0.013071171,0.009758303
0,estable,numeric__barometric_pressure_median_mb,barometric_pressure_median_mb,0.006430053,0.004152979
0,estable,numeric__solar_radiation_median_w_m2,solar_radiation_median_w_m2,0.009223914,-0.0044060554
0,estable,numeric__precipitation_mean_l_m2,precipitation_mean_l_m2,0.0031751299,0.001575544
0,estable,numeric__precipitation_max_l_m2,precipitation_max_l_m2,0.0006281917,7.712307e-05
0,estable,numeric__n_temperature,n_temperature,0.0063832696,0.0029338575
0,estable,numeric__n_relative_humidity,n_relative_humidity,0.013835818,0.012866261
0,estable,numeric__n_precipitation,n_precipitation,0.0017609722,-0.00040353497
0,estable,numeric__hour,hour,0.0826796,0.0066058068
0,estable,numeric__day_of_week,day_of_week,0.009313441,0.0021382545
0,estable,numeric__month,month,0.0040993667,0.00023897516
0,estable,numeric__week_of_year,week_of_year,0.012640437,0.00455515
0,estable,numeric__occupancy_ratio_lag_1h,occupancy_ratio_lag_1h,0.032712292,-0.01686834
0,estable,numeric__occupancy_ratio_lag_2h,occupancy_ratio_lag_2h,0.011535464,-0.0034107638
0,estable,numeric__occupancy_ratio_lag_24h,occupancy_ratio_lag_24h,0.014117392,0.0013329135
0,estable,numeric__bikes_available_lag_1h,bikes_available_lag_1h,0.0047281804,-0.0032824876
0,estable,numeric__bikes_available_lag_2h,bikes_available_lag_2h,0.005107782,-0.0017334954
0,estable,numeric__bikes_available_lag_24h,bikes_available_lag_24h,0.004981243,-0.00049589016
0,estable,numeric__net_flow_lag_1h,net_flow_lag_1h,0.0064147073,0.0038398171
0,estable,numeric__net_flow_lag_2h,net_flow_lag_2h,0.0027942432,0.00032563353
0,estable,numeric__net_flow_lag_24h,net_flow_lag_24h,0.014820175,0.0010032898
0,estable,numeric__departures_count_lag_1h,departures_count_lag_1h,0.016813107,0.0055235736
0,estable,numeric__departures_count_lag_2h,departures_count_lag_2h,0.002598004,-0.00055239553
0,estable,numeric__departures_count_lag_24h,departures_count_lag_24h,0.00998492,0.00044747727
0,estable,numeric__arrivals_count_lag_1h,arrivals_count_lag_1h,0.024385994,0.00827188
0,estable,numeric__arrivals_count_lag_2h,arrivals_count_lag_2h,0.0021544532,0.00039007008
0,estable,numeric__arrivals_count_lag_24h,arrivals_count_lag_24h,0.014203991,-0.0009528142
0,estable,numeric__occupancy_ratio_mean_previous_3h,occupancy_ratio_mean_previous_3h,0.016190503,-0.013322802
0,estable,numeric__occupancy_ratio_mean_previous_24h,occupancy_ratio_mean_previous_24h,0.13085538,-0.05374907
0,estable,numeric__net_flow_mean_previous_3h,net_flow_mean_previous_3h,0.013098906,0.006238029
0,estable,numeric__net_flow_mean_previous_24h,net_flow_mean_previous_24h,0.0044566994,0.0009709059
0,estable,numeric__departures_count_mean_previous_3h,departures_count_mean_previous_3h,0.0096171135,0.0026072373
0,estable,numeric__departures_count_mean_previous_24h,departures_count_mean_previous_24h,0.026076075,0.009334701
0,estable,numeric__arrivals_count_mean_previous_3h,arrivals_count_mean_previous_3h,0.012172793,0.0029236132
0,estable,numeric__arrivals_count_mean_previous_24h,arrivals_count_mean_previous_24h,0.019132737,0.0039151586
0,estable,numeric__missingindicator_uv_radiation_median_mw_m2,uv_radiation_median_mw_m2,0.0013723187,0.0006891722
0,estable,numeric__missingindicator_wind_speed_median_m_s,wind_speed_median_m_s,1.5696911e-06,1.5696911e-06
0,estable,numeric__missingindicator_wind_direction_sin_mean,wind_direction_sin_mean,0.0,0.0
0,estable,numeric__missingindicator_wind_direction_cos_mean,wind_direction_cos_mean,0.0,0.0
0,estable,numeric__missingindicator_temperature_median_c,temperature_median_c,0.0,0.0
0,estable,numeric__missingindicator_relative_humidity_median_pct,relative_humidity_median_pct,0.0,0.0
0,estable,numeric__missingindicator_barometric_pressure_median_mb,barometric_pressure_median_mb,0.0,0.0
0,estable,numeric__missingindicator_solar_radiation_median_w_m2,solar_radiation_median_w_m2,0.0,0.0
0,estable,numeric__missingindicator_precipitation_mean_l_m2,precipitation_mean_l_m2,0.0,0.0
0,estable,numeric__missingindicator_precipitation_max_l_m2,precipitation_max_l_m2,0.0,0.0
0,estable,numeric__missingindicator_n_temperature,n_temperature,0.0,0.0
0,estable,numeric__missingindicator_n_relative_humidity,n_relative_humidity,0.0,0.0
0,estable,numeric__missingindicator_n_precipitation,n_precipitation,0.0,0.0
0,estable,numeric__missingindicator_occupancy_ratio_lag_1h,occupancy_ratio_lag_1h,4.140453e-06,7.156549e-07
0,estable,numeric__missingindicator_occupancy_ratio_lag_2h,occupancy_ratio_lag_2h,9.593248e-06,2.0465493e-06
0,estable,numeric__missingindicator_occupancy_ratio_lag_24h,occupancy_ratio_lag_24h,0.000600024,0.00017770901
0,estable,numeric__missingindicator_bikes_available_lag_1h,bikes_available_lag_1h,0.0,0.0
0,estable,numeric__missingindicator_bikes_available_lag_2h,bikes_available_lag_2h,0.0,0.0
0,estable,numeric__missingindicator_bikes_available_lag_24h,bikes_available_lag_24h,0.0004707502,8.8385066e-05
0,estable,numeric__missingindicator_net_flow_lag_1h,net_flow_lag_1h,0.0,0.0
0,estable,numeric__missingindicator_net_flow_lag_2h,net_flow_lag_2h,1.687899e-06,7.208453e-07
0,estable,numeric__missingindicator_net_flow_lag_24h,net_flow_lag_24h,0.0,0.0
0,estable,numeric__missingindicator_departures_count_lag_1h,departures_count_lag_1h,0.0,0.0
0,estable,numeric__missingindicator_departures_count_lag_2h,departures_count_lag_2h,0.0,0.0
0,estable,numeric__missingindicator_departures_count_lag_24h,departures_count_lag_24h,0.0,0.0
0,estable,numeric__missingindicator_arrivals_count_lag_1h,arrivals_count_lag_1h,0.0,0.0
0,estable,numeric__missingindicator_arrivals_count_lag_2h,arrivals_count_lag_2h,0.0,0.0
0,estable,numeric__missingindicator_arrivals_count_lag_24h,arrivals_count_lag_24h,0.0,0.0
0,estable,numeric__missingindicator_occupancy_ratio_mean_previous_3h,occupancy_ratio_mean_previous_3h,0.00021564956,3.4134562e-05
0,estable,numeric__missingindicator_occupancy_ratio_mean_previous_24h,occupancy_ratio_mean_previous_24h,0.0,0.0
0,estable,numeric__missingindicator_net_flow_mean_previous_3h,net_flow_mean_previous_3h,9.123767e-06,4.342292e-06
0,estable,numeric__missingindicator_net_flow_mean_previous_24h,net_flow_mean_previous_24h,0.0,0.0
0,estable,numeric__missingindicator_departures_count_mean_previous_3h,departures_count_mean_previous_3h,0.0,0.0
0,estable,numeric__missingindicator_departures_count_mean_previous_24h,departures_count_mean_previous_24h,0.0,0.0
0,estable,numeric__missingindicator_arrivals_count_mean_previous_3h,arrivals_count_mean_previous_3h,0.0,0.0
0,estable,numeric__missingindicator_arrivals_count_mean_previous_24h,arrivals_count_mean_previous_24h,0.0,0.0
0,estable,categorical__station_id_1,station_id,1.4162625e-05,-2.0785544e-06
0,estable,categorical__station_id_2,station_id,0.00043465552,0.00010724464
0,estable,categorical__station_id_3,station_id,0.00014953589,2.2034126e-05
0,estable,categorical__station_id_4,station_id,0.00051826664,-0.0002764375
0,estable,categorical__station_id_5,station_id,8.555091e-05,7.823183e-06
0,estable,categorical__station_id_6,station_id,0.0,0.0
0,estable,categorical__station_id_7,station_id,2.0872933e-05,-1.1956577e-05
0,estable,categorical__station_id_8,station_id,7.9681115e-05,1.032935e-06
0,estable,categorical__station_id_9,station_id,0.00045374947,3.2385753e-05
0,estable,categorical__station_id_10,station_id,1.069037e-05,-1.3195315e-06
0,estable,categorical__station_id_11,station_id,0.00056406984,-6.989401e-05
0,estable,categorical__station_id_12,station_id,0.00038279808,4.6985333e-05
0,estable,categorical__station_id_13,station_id,6.281728e-05,-2.454974e-05
0,estable,categorical__station_id_14,station_id,4.1465005e-06,-7.9451337e-07
0,estable,categorical__station_id_15,station_id,0.00021549646,-2.426262e-05
0,estable,categorical__station_id_16,station_id,0.00015216347,0.00013909275
0,estable,categorical__station_id_17,station_id,0.00033031264,-0.00013375675
0,estable,categorical__station_id_18,station_id,4.4286076e-05,9.825796e-06
0,estable,categorical__station_id_19,station_id,2.9385197e-05,1.3854396e-05
0,estable,categorical__station_id_20,station_id,0.0,0.0
0,estable,categorical__station_id_21,station_id,0.00082008896,-9.3617724e-05
0,estable,categorical__station_id_23,station_id,0.0,0.0
0,estable,categorical__station_id_24,station_id,0.0,0.0
0,estable,categorical__station_id_25,station_id,1.1345059e-05,2.5243182e-06
0,estable,categorical__station_id_26,station_id,5.298525e-06,-1.5891907e-06
0,estable,categorical__station_id_27,station_id,8.533579e-05,3.3796547e-05
0,estable,categorical__station_id_28,station_id,0.00012778185,-3.5952987e-06
0,estable,categorical__station_id_29,station_id,1.6312742e-05,2.8166685e-06
0,estable,categorical__station_id_30,station_id,0.00024090055,8.7228305e-05
0,estable,categorical__station_id_31,station_id,4.0874602e-05,-1.4731581e-05
0,estable,categorical__station_id_32,station_id,5.6983416e-05,1.3133453e-05
0,estable,categorical__station_id_33,station_id,2.64684e-05,2.565782e-06
0,estable,categorical__station_id_34,station_id,6.114413e-06,-3.0357494e-06
0,estable,categorical__station_id_35,station_id,9.70393e-06,1.8755198e-07
0,estable,categorical__station_id_36,station_id,4.2455784e-05,-5.639921e-06
0,estable,categorical__station_id_37,station_id,0.0008372814,-0.00011220534
0,estable,categorical__station_id_38,station_id,0.00043984692,4.482544e-05
0,estable,categorical__station_id_39,station_id,2.670998e-05,8.709279e-06
0,estable,categorical__station_id_40,station_id,0.0,0.0
0,estable,categorical__station_id_41,station_id,0.00027163228,5.9045822e-05
0,estable,categorical__station_id_42,station_id,0.0022457251,-0.00020264911
0,estable,categorical__station_id_43,station_id,0.0007735311,0.00019520825
0,estable,categorical__station_id_44,station_id,3.0500809e-05,1.1999394e-05
0,estable,categorical__station_id_45,station_id,7.1721324e-06,2.5196303e-07
0,estable,categorical__station_id_46,station_id,0.0017032672,0.00015393461
0,estable,categorical__station_id_47,station_id,0.0008351617,0.00028251472
0,estable,categorical__station_id_48,station_id,0.002160076,0.00049466954
0,estable,categorical__station_id_49,station_id,8.955204e-05,5.0314564e-05
0,estable,categorical__station_id_50,station_id,9.892896e-06,4.962765e-06
0,estable,categorical__station_id_51,station_id,0.0,0.0
0,estable,categorical__station_id_52,station_id,2.737544e-05,1.4431591e-05
0,estable,categorical__station_id_53,station_id,4.347225e-05,-2.231976e-06
0,estable,categorical__station_id_54,station_id,1.3468045e-05,-3.236262e-06
0,estable,categorical__station_id_55,station_id,0.0007262636,-0.0003040372
0,estable,categorical__station_id_56,station_id,3.3920212e-05,4.38864e-06
0,estable,categorical__station_id_57,station_id,6.0090402e-05,3.5704943e-06
0,estable,categorical__station_id_58,station_id,6.55375e-05,2.5731938e-06
0,estable,categorical__station_id_59,station_id,3.3369528e-05,2.6153162e-05
0,estable,categorical__station_id_60,station_id,2.4823694e-05,-3.996553e-06
0,estable,categorical__station_id_61,station_id,0.0,0.0
0,estable,categorical__station_id_62,station_id,1.1065672e-05,1.2948946e-06
0,estable,categorical__station_id_63,station_id,0.0005293911,5.6693276e-05
0,estable,categorical__station_id_64,station_id,0.0003648757,7.7606506e-05
0,estable,categorical__station_id_65,station_id,3.435269e-05,-1.5822843e-05
0,estable,categorical__station_id_66,station_id,2.72167e-05,8.761969e-06
0,estable,categorical__station_id_67,station_id,5.6451554e-05,1.0970392e-05
0,estable,categorical__station_id_69,station_id,0.00010914374,1.8298972e-05
0,estable,categorical__station_id_71,station_id,0.00024408934,-6.307415e-05
0,estable,categorical__station_id_72,station_id,5.2731507e-06,1.6743255e-06
0,estable,categorical__station_id_73,station_id,4.5226266e-06,2.1445649e-06
0,estable,categorical__station_id_74,station_id,1.7090835e-05,2.5669033e-06
0,estable,categorical__station_id_75,station_id,2.0260493e-05,7.2128587e-06
0,estable,categorical__station_id_76,station_id,1.4644737e-05,3.3689064e-06
0,estable,categorical__station_id_77,station_id,0.0001019457,1.1394895e-05
0,estable,categorical__station_id_78,station_id,0.00013706098,-3.274719e-06
0,estable,categorical__station_id_79,station_id,1.39525355e-05,-4.4214e-07
0,estable,categorical__station_id_80,station_id,0.0,0.0
0,estable,categorical__station_id_81,station_id,2.6126087e-05,7.588979e-06
0,estable,categorical__station_id_82,station_id,6.598497e-05,3.162904e-05
0,estable,categorical__station_id_83,station_id,5.1956802e-05,2.6322154e-05
0,estable,categorical__station_id_84,station_id,3.2430464e-05,-4.2954774e-08
0,estable,categorical__station_id_85,station_id,0.00027571118,4.1433323e-05
0,estable,categorical__station_id_86,station_id,6.2811785e-05,1.4050379e-06
0,estable,categorical__station_id_87,station_id,3.6506806e-06,3.0042315e-06
0,estable,categorical__station_id_88,station_id,0.0,0.0
0,estable,categorical__station_id_89,station_id,1.9982645e-05,2.5116778e-06
0,estable,categorical__station_id_90,station_id,0.00038926184,-0.00010993587
0,estable,categorical__station_id_91,station_id,0.00014599781,1.9759465e-05
0,estable,categorical__station_id_92,station_id,0.00021025477,-7.345244e-07
0,estable,categorical__station_id_93,station_id,0.000102044156,3.3285094e-05
0,estable,categorical__station_id_94,station_id,4.291173e-05,2.640885e-05
0,estable,categorical__station_id_95,station_id,2.0844123e-05,3.251717e-06
0,estable,categorical__station_id_96,station_id,7.4381e-05,-9.364896e-06
0,estable,categorical__station_id_97,station_id,0.0002514689,0.00010233864
0,estable,categorical__station_id_98,station_id,0.00035322932,8.489008e-06
0,estable,categorical__station_id_99,station_id,6.0259223e-05,1.7578388e-05
0,estable,categorical__station_id_100,station_id,0.0011910748,0.00012578373
0,estable,categorical__station_id_101,station_id,2.3552346e-05,1.2870631e-05
0,estable,categorical__station_id_102,station_id,5.5159562e-05,-2.0540951e-06
0,estable,categorical__station_id_103,station_id,1.2211312e-05,-1.9308006e-06
0,estable,categorical__station_id_104,station_id,0.0,0.0
0,estable,categorical__station_id_105,station_id,3.3933447e-05,4.264999e-06
0,estable,categorical__station_id_106,station_id,0.0007484567,-0.00011631781
0,estable,categorical__station_id_107,station_id,3.5577104e-05,1.3782095e-05
0,estable,categorical__station_id_108,station_id,0.00030644247,3.665519e-05
0,estable,categorical__station_id_109,station_id,5.380546e-05,2.7471126e-05
0,estable,categorical__station_id_110,station_id,0.0001537897,3.396795e-05
0,estable,categorical__station_id_111,station_id,2.5707435e-05,-8.394612e-06
0,estable,categorical__station_id_112,station_id,3.618005e-05,1.0731169e-05
0,estable,categorical__station_id_113,station_id,0.0021137323,0.00022753343
0,estable,categorical__station_id_114,station_id,6.851734e-05,3.2879598e-05
0,estable,categorical__station_id_115,station_id,6.502957e-05,2.697595e-05
0,estable,categorical__station_id_116,station_id,2.644196e-05,-7.6222004e-06
0,estable,categorical__station_id_117,station_id,0.0,0.0
0,estable,categorical__station_id_118,station_id,4.558182e-06,2.1309793e-06
0,estable,categorical__station_id_119,station_id,0.00041670562,-2.38495e-05
0,estable,categorical__station_id_120,station_id,0.00028236583,-3.615708e-05
0,estable,categorical__station_id_121,station_id,0.00064582087,1.9615798e-05
0,estable,categorical__station_id_122,station_id,1.969262e-05,1.4372664e-05
0,estable,categorical__station_id_123,station_id,0.00034606823,5.4738637e-05
0,estable,categorical__station_id_124,station_id,5.882097e-06,-9.380558e-07
0,estable,categorical__station_id_125,station_id,3.6864785e-05,1.5353813e-05
0,estable,categorical__station_id_126,station_id,2.359291e-05,8.108926e-06
0,estable,categorical__station_id_127,station_id,0.00016391331,2.0667485e-05
0,estable,categorical__station_id_128,station_id,8.4299114e-05,-2.4761434e-06
0,estable,categorical__station_id_129,station_id,7.430912e-05,3.9585248e-06
0,estable,categorical__station_id_130,station_id,3.0248582e-05,-5.432048e-06
0,estable,categorical__station_id_131,station_id,4.9449318e-05,-6.44644e-06
0,estable,categorical__station_id_132,station_id,5.5785826e-05,-5.682398e-06
0,estable,categorical__station_id_133,station_id,2.6414502e-05,7.857177e-06
0,estable,categorical__station_id_134,station_id,2.8510474e-05,1.1336529e-05
0,estable,categorical__station_id_135,station_id,9.457999e-05,-1.9729554e-05
0,estable,categorical__station_id_136,station_id,2.4444878e-05,9.919014e-06
0,estable,categorical__station_id_137,station_id,1.7021071e-05,-8.677289e-06
0,estable,categorical__station_id_138,station_id,2.3747338e-05,8.389678e-07
0,estable,categorical__station_id_139,station_id,3.793657e-05,-8.973773e-07
0,estable,categorical__station_id_140,station_id,0.00016296859,4.595319e-05
0,estable,categorical__station_id_141,station_id,2.1224814e-05,-9.861579e-06
0,estable,categorical__station_id_142,station_id,0.00019024574,0.0001351682
0,estable,categorical__station_id_143,station_id,0.000114249786,-3.6551657e-05
0,estable,categorical__station_id_144,station_id,0.0,0.0
0,estable,categorical__station_id_145,station_id,9.917549e-05,1.9483005e-05
0,estable,categorical__station_id_146,station_id,0.0,0.0
0,estable,categorical__station_id_147,station_id,1.0810932e-05,2.2622037e-06
0,estable,categorical__station_id_148,station_id,0.00033078823,-7.132703e-05
0,estable,categorical__station_id_149,station_id,4.7586815e-05,2.0612306e-05
0,estable,categorical__station_id_150,station_id,3.124635e-06,-2.0874617e-07
0,estable,categorical__station_id_151,station_id,0.00046186533,8.234412e-06
0,estable,categorical__station_id_152,station_id,1.2472523e-05,4.0733917e-06
0,estable,categorical__station_id_153,station_id,1.8157069e-05,-6.132112e-06
0,estable,categorical__station_id_154,station_id,0.00054884603,-1.06167845e-05
0,estable,categorical__station_id_155,station_id,6.897452e-05,-4.4938868e-05
0,estable,categorical__station_id_156,station_id,2.2853343e-05,1.1382313e-05
0,estable,categorical__station_id_157,station_id,0.0007068419,5.5881803e-05
0,estable,categorical__station_id_158,station_id,0.0,0.0
0,estable,categorical__station_id_159,station_id,8.303317e-06,2.0324644e-06
0,estable,categorical__station_id_160,station_id,0.0,0.0
0,estable,categorical__station_id_161,station_id,3.1305653e-06,1.2380711e-06
0,estable,categorical__station_id_162,station_id,0.00050674356,7.490695e-05
0,estable,categorical__station_id_163,station_id,0.00019923944,-5.116269e-05
0,estable,categorical__station_id_164,station_id,9.637572e-06,-2.5727417e-07
0,estable,categorical__station_id_165,station_id,0.00028492624,-2.6502905e-05
0,estable,categorical__station_id_166,station_id,6.9465564e-06,2.948228e-06
0,estable,categorical__station_id_167,station_id,0.00023636238,2.5835994e-05
0,estable,categorical__station_id_168,station_id,1.1949246e-05,4.6783607e-06
0,estable,categorical__station_id_169,station_id,0.00022668093,-2.3450333e-05
0,estable,categorical__station_id_170,station_id,1.1877564e-05,2.1110986e-06
0,estable,categorical__station_id_171,station_id,7.026158e-05,1.9931895e-05
0,estable,categorical__station_id_172,station_id,0.0004277251,-3.728857e-05
0,estable,categorical__station_id_173,station_id,0.0,0.0
0,estable,categorical__station_id_174,station_id,5.0072704e-06,-1.0733505e-06
0,estable,categorical__station_id_175,station_id,3.3366552e-05,1.8073617e-05
0,estable,categorical__station_id_176,station_id,1.189489e-05,1.2630252e-06
0,estable,categorical__station_id_177,station_id,4.894005e-05,2.8162135e-06
0,estable,categorical__station_id_178,station_id,0.00083781814,0.00021022503
0,estable,categorical__station_id_179,station_id,6.6615503e-06,3.0601839e-06
0,estable,categorical__station_id_180,station_id,0.0,0.0
0,estable,categorical__station_id_181,station_id,3.546652e-05,-1.8728875e-06
0,estable,categorical__station_id_182,station_id,0.00023481234,8.5125954e-05
0,estable,categorical__station_id_183,station_id,4.754662e-05,1.9699677e-05
0,estable,categorical__station_id_184,station_id,3.4530116e-05,2.4928257e-05
0,estable,categorical__station_id_185,station_id,6.831556e-05,3.0718376e-05
0,estable,categorical__station_id_186,station_id,3.6619917e-05,-1.812276e-05
0,estable,categorical__station_id_187,station_id,0.00034471878,0.00017057701
0,estable,categorical__station_id_188,station_id,0.0003290557,3.122659e-05
0,estable,categorical__station_id_189,station_id,2.0329619e-05,-7.039229e-06
0,estable,categorical__station_id_190,station_id,0.0002367513,-1.1237233e-05
0,estable,categorical__station_id_191,station_id,0.0,0.0
0,estable,categorical__station_id_192,station_id,0.00029230415,4.175914e-05
0,estable,categorical__station_id_193,station_id,0.0,0.0
0,estable,categorical__station_id_194,station_id,9.770201e-06,5.609672e-06
