control,value
input_rows,379104
target_column_present,False
is_error_column_present,False
stable_rows_as_technical_candidates,0
critical_risk_type_used_for_stable_action,False
risk_score_threshold,none
risk_score_use,ordering_only
test_metrics_used_in_priority,False
test_metrics_used_in_amount,False
sensitivity_metrics_use,monitoring_note_only
operational_min_ratio,0.3
operational_max_ratio,0.7
max_pair_distance_km,3.0
max_units_per_transfer,10
technical_candidates,49702
transfer_pairs,41630
transferred_units,104360
model_retrained,False
thresholds_recalibrated,False
causal_interpretation,False
