station_id,station_number,station_name,candidate_role,candidate_rows,requested_units,assigned_units,uncovered_units,mean_risk_score,sensitive_hour_rows,sensitive_station_rows
1,1a,Puerta del Sol A,receiver,546,1195,1091,104,0.9680760324175824,70,0
2,1b,Puerta del Sol B,donor,4,23,23,0,0.7842693125,0,0
2,1b,Puerta del Sol B,receiver,484,709,654,55,0.9792896328512397,63,0
3,2,Miguel Moya,donor,1,5,5,0,0.51346153,0,0
3,2,Miguel Moya,receiver,229,1547,1256,291,0.8377688056768559,25,0
4,3,Plaza Conde Suchil,receiver,33,161,29,132,0.7344014057575757,3,0
5,4,Malasaña,donor,1,7,7,0,0.88189507,0,1
5,4,Malasaña,receiver,289,1929,1254,675,0.828684496366782,32,289
6,5,Fuencarral,donor,1,8,8,0,0.8208298,0,1
6,5,Fuencarral,receiver,243,1802,664,1138,0.7865041121399177,31,243
7,6,Colegio Arquitectos,receiver,316,2146,1597,549,0.831805234556962,34,316
8,7,Hortaleza,donor,3,16,16,0,0.66384448,0,0
8,7,Hortaleza,receiver,348,1988,1347,641,0.8263888489942528,33,0
9,8,Alonso Martínez,donor,38,229,229,0,0.6885530265789473,0,0
9,8,Alonso Martínez,receiver,280,1848,838,1010,0.8295595768571429,21,0
10,9,Plaza de San Miguel,donor,7,41,41,0,0.6316075685714286,1,0
10,9,Plaza de San Miguel,receiver,162,1054,754,300,0.8138321364197532,17,0
11,10,Marqués de la Ensenada,donor,6,36,36,0,0.6933244666666667,0,0
11,10,Marqués de la Ensenada,receiver,362,2480,1842,638,0.8699849780110497,38,0
12,11,San Andrés,receiver,307,2024,1498,526,0.8166145493159609,41,0
13,12,San Hermenegildo,donor,4,27,27,0,0.7654663775,1,4
13,12,San Hermenegildo,receiver,128,841,404,437,0.728525278828125,13,128
14,13,Conde Duque,donor,21,126,126,0,0.7142778947619048,2,0
14,13,Conde Duque,receiver,69,436,193,243,0.7155067843478261,9,0
15,14,Ventura Rodríguez,receiver,96,603,307,296,0.7964103095833334,10,0
16,15,San Vicente Ferrer,receiver,1436,0,0,0,0.9985512372075208,180,0
17,16,San Bernardo,donor,8,39,39,0,0.6989319,3,8
17,16,San Bernardo,receiver,229,1295,824,471,0.7699073248471615,37,229
18,17,Carlos Cambronero,receiver,197,1199,851,348,0.7841352176649745,27,0
19,18,Plaza de Pedro Zerolo,donor,9,52,52,0,0.6499493133333334,3,0
19,18,Plaza de Pedro Zerolo,receiver,236,1568,1044,524,0.8161358605508474,20,0
20,19,Prim,receiver,1436,0,0,0,0.9986393385584958,180,0
21,20a,Banco de España A,receiver,529,3780,3340,440,0.8636348341587902,59,0
25,22,Jacometrezo,donor,4,23,23,0,0.637827025,0,0
25,22,Jacometrezo,receiver,225,1441,833,608,0.8120603125333333,25,0
26,23,Santo Domingo,donor,10,63,63,0,0.701479301,0,0
26,23,Santo Domingo,receiver,110,716,450,266,0.7815992940909091,9,0
27,24,Palacio de Oriente,receiver,238,1530,1115,415,0.7962341541596639,32,238
28,25a,Plaza de Celenque A,receiver,961,568,505,63,0.9865740657336108,118,0
29,25b,Plaza de Celenque B,receiver,963,566,458,108,0.9840119764589823,120,0
30,26,Plaza de las Salesas,donor,6,36,36,0,0.6344834933333333,0,0
30,26,Plaza de las Salesas,receiver,200,1229,800,429,0.85227545805,20,0
31,27,Huertas,donor,15,96,96,0,0.7117591026666666,4,0
31,27,Huertas,receiver,53,298,235,63,0.7846432496226414,3,0
32,28,Sevilla,donor,13,75,75,0,0.6904022623076924,0,0
32,28,Sevilla,receiver,215,1430,1087,343,0.8440423948372092,14,0
33,29,Marqués de Cubas,donor,18,104,104,0,0.7485048694444445,1,0
33,29,Marqués de Cubas,receiver,118,772,577,195,0.8453246272033897,7,0
34,30,San Quintín,receiver,113,849,619,230,0.8093571417699116,9,0
35,31,Calle Mayor,donor,2,13,13,0,0.64149897,0,0
35,31,Calle Mayor,receiver,531,1020,733,287,0.9591548313559323,71,0
36,32,Plaza de la Provincia,donor,74,386,386,0,0.7601930716216216,9,0
36,32,Plaza de la Provincia,receiver,25,133,90,43,0.8166754132,1,0
37,33,Carretas,donor,9,50,50,0,0.7924361955555556,1,0
37,33,Carretas,receiver,681,1460,1262,198,0.9483614693538914,86,0
38,34,Jacinto Benavente,donor,10,62,62,0,0.691279651,3,0
38,34,Jacinto Benavente,receiver,548,996,780,216,0.9535661926824817,67,0
39,35,Plaza del Cordón,donor,17,99,99,0,0.71380065,3,0
39,35,Plaza del Cordón,receiver,77,495,305,190,0.7500586623376624,13,0
40,36,Plaza Ramales,donor,10,65,65,0,0.78242997,0,0
40,36,Plaza Ramales,receiver,210,1369,1080,289,0.8313574377142856,17,0
41,37,Plaza de San Francisco,donor,101,647,647,0,0.8018366748514852,3,0
41,37,Plaza de San Francisco,receiver,87,476,250,226,0.7235653970114942,7,0
42,38,Plaza de los Carros,donor,144,936,936,0,0.8152486692361111,9,0
42,38,Plaza de los Carros,receiver,53,342,219,123,0.7065383662264151,4,0
43,39,Plaza de la Cebada,donor,71,532,532,0,0.7166010785915493,5,0
43,39,Plaza de la Cebada,receiver,41,318,139,179,0.7083140309756097,3,0
44,40,Conde de Romanones,donor,52,317,317,0,0.7739466548076923,2,0
44,40,Conde de Romanones,receiver,53,340,208,132,0.7521928560377358,6,0
45,41,Antón Martín,donor,25,130,130,0,0.7016516392,2,0
45,41,Antón Martín,receiver,57,286,180,106,0.7455779596491228,6,0
46,42,Santa Isabel,donor,74,457,457,0,0.7840360613513514,2,0
46,42,Santa Isabel,receiver,147,964,676,288,0.7439995776870748,17,0
47,43,Jesús y María,donor,11,64,64,0,0.7500631509090909,0,0
47,43,Jesús y María,receiver,288,1917,1588,329,0.7929244659722222,38,0
48,44,Plaza de Nelson Mandela,donor,63,359,359,0,0.8363975050793652,1,0
48,44,Plaza de Nelson Mandela,receiver,118,661,455,206,0.7106020405084746,9,0
49,45,Puerta de Toledo,donor,46,246,246,0,0.776217969347826,4,46
49,45,Puerta de Toledo,receiver,98,549,306,243,0.6663699244897959,14,98
50,46,Ribera de Curtidores,donor,45,271,271,0,0.7303524133333335,4,0
50,46,Ribera de Curtidores,receiver,34,212,70,142,0.6780448314705882,4,0
51,47,Embajadores 1,donor,31,187,187,0,0.7251775370967741,4,0
51,47,Embajadores 1,receiver,47,298,196,102,0.7199637485106383,3,0
52,48,Embajadores 2,donor,18,106,106,0,0.649136425,2,0
52,48,Embajadores 2,receiver,91,572,392,180,0.7461801851648352,7,0
53,49,Casa Encendida,donor,28,177,177,0,0.7766496728571429,0,0
53,49,Casa Encendida,receiver,38,237,103,134,0.6690124971052631,1,0
54,50,Museo Reina Sofía,receiver,94,599,490,109,0.7784352817021276,12,0
55,51,Ronda de Atocha,donor,2,12,12,0,0.55271022,0,0
55,51,Ronda de Atocha,receiver,40,306,211,95,0.7762971705,7,0
56,52,Plaza de Santa Ana,donor,59,353,353,0,0.7028377705084746,11,0
56,52,Plaza de Santa Ana,receiver,19,120,85,35,0.7024770468421052,3,0
57,53,Plaza de Lavapiés,donor,26,172,172,0,0.7575357357692307,0,26
57,53,Plaza de Lavapiés,receiver,117,753,464,289,0.7127554103418804,17,117
58,54,Barceló,donor,28,151,151,0,0.7062513703571429,4,28
58,54,Barceló,receiver,264,1485,671,814,0.8010883243560606,23,264
59,55,Plaza de San Ildefonso,donor,21,132,132,0,0.6769492357142857,2,0
59,55,Plaza de San Ildefonso,receiver,156,1027,370,657,0.7505119607692308,19,0
60,56,Plaza del Carmen ,donor,9,59,59,0,0.7731809733333334,2,0
60,56,Plaza del Carmen ,receiver,127,856,719,137,0.8404007576377953,19,0
61,57,Santa Cruz del Marcenado,donor,1,6,6,0,0.8557243,0,0
61,57,Santa Cruz del Marcenado,receiver,108,688,440,248,0.8347789487962963,11,0
62,58,Augusto Figueroa,donor,17,106,106,0,0.6912349411764707,2,0
