hour,candidate_role,candidate_rows,requested_units,assigned_units,uncovered_units,mean_risk_score,sensitive_hour_rows,sensitive_station_rows
0,donor,383,2414,2408,6,0.8074743834986945,0,9
0,receiver,1878,8090,4989,3101,0.9091055814589989,0,185
1,donor,397,2554,2554,0,0.8607889133753148,0,9
1,receiver,1939,8515,5204,3311,0.931515004192883,0,220
2,donor,389,2489,2469,20,0.8677741506169666,0,8
2,receiver,1954,8648,5100,3548,0.9341157135926305,0,234
3,donor,379,2482,2432,50,0.8982203825065964,0,6
3,receiver,1978,8787,5196,3591,0.9388441232659253,0,262
4,donor,384,2517,2473,44,0.8985566192447917,0,4
4,receiver,1959,8642,5314,3328,0.9407699144104135,0,264
5,donor,389,2546,2518,28,0.8985854450128535,0,5
5,receiver,2002,8956,5416,3540,0.9404698255694306,0,284
6,donor,341,2277,2237,40,0.7993795705571848,0,2
6,receiver,2011,9006,5350,3656,0.8958975022277474,0,290
7,donor,232,1547,1512,35,0.7795269701724138,0,2
7,receiver,1804,7568,4278,3290,0.8666656066685144,0,273
8,donor,185,1135,1105,30,0.745406704,185,7
8,receiver,1806,7242,3492,3750,0.8474363606090808,1806,269
9,donor,275,1576,1555,21,0.743442105090909,0,36
9,receiver,2017,8450,4110,4340,0.8303204734060486,0,259
10,donor,302,1861,1853,8,0.7618877906622517,0,34
10,receiver,1903,7798,4539,3259,0.8386006966946926,0,231
11,donor,262,1608,1608,0,0.7490890445038167,0,30
11,receiver,1699,6624,4193,2431,0.8423995707886992,0,159
12,donor,216,1318,1318,0,0.7343417767592593,0,21
12,receiver,1664,6464,4047,2417,0.8355256579807692,0,158
13,donor,191,1176,1176,0,0.7025820283769634,0,19
13,receiver,1637,6329,3981,2348,0.829164513347587,0,144
14,donor,130,842,842,0,0.7232962277692307,0,9
14,receiver,1569,5781,3246,2535,0.8293712357106436,0,146
15,donor,158,1007,1007,0,0.7260943647468354,0,11
15,receiver,1546,5659,2932,2727,0.8342798439780078,0,147
16,donor,142,878,878,0,0.7052266544366197,0,10
16,receiver,1511,5411,2805,2606,0.8422547570880212,0,127
17,donor,133,818,815,3,0.7091767127819549,0,6
17,receiver,1521,5408,2691,2717,0.8435529741157133,0,138
18,donor,143,870,870,0,0.7074467944755245,143,7
18,receiver,1631,6033,2602,3431,0.8386444469527897,1631,159
19,donor,181,1111,1111,0,0.6956761402762431,181,9
19,receiver,1742,6803,3059,3744,0.8340317766934557,1742,163
20,donor,240,1450,1450,0,0.7048814304166666,0,11
20,receiver,1776,7090,3527,3563,0.8375455453659909,0,165
21,donor,314,1951,1951,0,0.7471717742675159,0,20
21,receiver,1818,7349,4195,3154,0.8643776121177118,0,169
22,donor,370,2307,2307,0,0.767239758,0,18
22,receiver,1917,7924,4702,3222,0.8791976947052687,0,165
23,donor,393,2433,2433,0,0.7691562005343511,0,16
23,receiver,1891,8016,4867,3149,0.8841132826969857,0,179
