fecha_hora_local,transfer_pairs,transferred_units,mean_distance_km,max_distance_km,stable_support_pairs
2022-11-01 00:00:00,23,60,1.4654648854894792,2.980398162527081,16
2022-11-01 01:00:00,30,53,1.558823124863215,2.980398162527081,27
2022-11-01 02:00:00,26,69,1.6557966452949495,2.8752423851966027,20
2022-11-01 03:00:00,30,79,2.2203433683536327,2.975217883381519,20
2022-11-01 04:00:00,41,103,2.336910089194038,2.9642325942133643,31
2022-11-01 05:00:00,40,114,2.2373029379526552,2.9642325942133643,24
2022-11-01 06:00:00,45,148,2.294337608247408,2.9678111795796,21
2022-11-01 07:00:00,43,148,2.2898552553829274,2.9478191173665853,21
2022-11-01 08:00:00,44,113,2.12639556022011,2.999742697357236,32
2022-11-01 09:00:00,35,88,2.154433810626885,2.9883092036134644,33
2022-11-01 10:00:00,27,62,2.340332564511901,2.9906142699008527,23
2022-11-01 11:00:00,16,31,2.1458348704279313,2.9883092036134644,15
2022-11-01 12:00:00,14,33,1.3180804312244312,2.310671808130708,13
2022-11-01 13:00:00,21,43,1.8423462908824773,2.9974833511348415,21
2022-11-01 14:00:00,18,51,1.865048125915562,2.9883092036134644,13
2022-11-01 15:00:00,19,55,1.764465870918418,2.982711193973219,14
2022-11-01 16:00:00,23,56,1.7248391325913448,2.8689189112762667,20
2022-11-01 17:00:00,13,27,1.6022346894803443,2.98663980259526,12
2022-11-01 18:00:00,15,29,1.3878549976559174,2.820476125356612,14
2022-11-01 19:00:00,23,55,1.216455648972541,2.7042089684159043,20
2022-11-01 20:00:00,24,54,1.4735635320335192,2.9739082685578304,21
2022-11-01 21:00:00,22,60,1.6414395984110273,2.9739082685578304,17
2022-11-01 22:00:00,28,67,1.786816642587309,2.9739082685578304,26
2022-11-01 23:00:00,24,55,1.861599388508952,2.8880386980636854,19
2022-11-02 00:00:00,30,71,1.8027962106419602,2.9739082685578304,23
2022-11-02 01:00:00,33,79,1.7346012653172085,2.9739082685578304,29
2022-11-02 02:00:00,31,72,1.512445534071948,2.6457454863142336,27
2022-11-02 03:00:00,33,71,1.659955077449581,2.857468767727598,30
2022-11-02 04:00:00,28,67,1.7899629036600733,2.977607801282799,26
2022-11-02 05:00:00,28,59,1.7265283293622147,2.977607801282799,27
2022-11-02 06:00:00,20,45,1.7129049473487932,2.9739082685578304,18
2022-11-02 07:00:00,19,49,1.5422719296175158,2.958904987064682,17
2022-11-02 08:00:00,18,46,1.9451601016469608,2.9894903885886586,13
2022-11-02 09:00:00,45,120,1.899093803565104,2.960300577834872,25
2022-11-02 10:00:00,64,210,1.5859459573579946,2.9512440739689603,23
2022-11-02 11:00:00,64,192,1.7078352498866702,2.975217883381519,27
2022-11-02 12:00:00,52,169,1.8778675035736871,2.9285481027257863,33
2022-11-02 13:00:00,50,150,1.846112102894073,2.9636516236073205,32
2022-11-02 14:00:00,40,113,1.6500865582227882,2.9974833511348415,30
2022-11-02 18:00:00,16,40,1.9677232379936025,2.9873363892474165,12
2022-11-02 19:00:00,26,69,1.7844432358234503,2.991893719081627,17
2022-11-02 20:00:00,29,82,1.7204573258180214,2.9375976583669163,24
2022-11-02 21:00:00,41,106,2.20314651686648,2.994092093540302,30
2022-11-02 22:00:00,42,122,2.333751645585844,2.9591636216614146,27
2022-11-02 23:00:00,53,157,2.068928012419231,2.997215567171587,32
2022-11-03 00:00:00,62,168,2.2077349958527543,2.997215567171587,34
2022-11-03 01:00:00,60,169,2.2359018289222896,2.991893719081627,44
2022-11-03 02:00:00,56,153,2.1632765163976795,2.978171843692269,39
2022-11-03 03:00:00,55,153,2.091472432059463,2.994092093540302,44
2022-11-03 04:00:00,54,156,2.057941379369273,2.961741483940063,47
2022-11-03 05:00:00,53,140,2.086972587853015,2.9535475850605364,49
2022-11-03 06:00:00,53,128,2.103872545765942,2.9535475850605364,51
2022-11-03 07:00:00,32,74,1.9288630855631892,2.9535475850605364,31
2022-11-03 08:00:00,23,44,1.6278762028499094,2.961741483940063,23
2022-11-03 09:00:00,20,62,1.4354361528426316,2.7565526956978235,10
2022-11-03 10:00:00,26,70,1.395084890219797,2.8074732239161615,16
2022-11-03 11:00:00,26,61,1.4463540652209057,2.86481117429619,21
2022-11-03 12:00:00,22,55,1.4649642703071286,2.680129126241738,19
2022-11-03 13:00:00,25,51,1.5495376271137729,2.620460216307119,23
2022-11-03 14:00:00,19,49,1.3827347813478907,2.6673377569380357,19
2022-11-03 15:00:00,17,35,1.478022522760342,2.2667506017547994,16
2022-11-03 16:00:00,20,41,1.7027739645443067,2.947514708380268,18
2022-11-03 17:00:00,24,52,2.0083980187797112,2.9654684684464487,22
2022-11-03 18:00:00,26,63,1.9547247058939907,2.9591636216614146,24
2022-11-03 19:00:00,30,86,2.2310210816386453,2.9714724361309406,18
2022-11-03 20:00:00,35,94,2.205152141036351,2.969187562532279,26
2022-11-03 21:00:00,40,114,2.1154057228504874,2.9998453672609906,23
2022-11-03 22:00:00,46,128,2.2149096837022966,2.9529999536181255,26
2022-11-03 23:00:00,48,125,2.198525547732762,2.969187562532279,36
2022-11-04 00:00:00,55,148,2.3201962906203404,2.969187562532279,40
2022-11-04 01:00:00,64,195,2.2926238199451654,2.9873553829715465,38
2022-11-04 02:00:00,53,178,2.3652889714255587,2.9837264523343774,34
2022-11-04 03:00:00,53,157,2.4648100717803185,2.999742697357236,36
2022-11-04 04:00:00,60,168,2.321799343754811,2.9642325942133643,44
2022-11-04 05:00:00,62,164,2.3451486127428023,2.9408124701923266,46
2022-11-04 06:00:00,58,157,2.4269849683758955,2.9921042254955874,49
2022-11-04 07:00:00,34,96,2.2109337114207093,2.9010086374590562,31
2022-11-04 08:00:00,26,50,1.7222909616116941,2.92935364289056,26
2022-11-04 09:00:00,26,63,2.0003066885048257,2.9417272839797945,21
2022-11-04 10:00:00,34,88,1.7386899677979284,2.856970784897675,24
2022-11-04 11:00:00,38,96,1.8569443272394346,2.7981318012595096,27
2022-11-04 12:00:00,43,103,1.682593373606194,2.9915362329805224,36
2022-11-04 13:00:00,38,85,1.5370711146257987,2.9739082685578304,37
2022-11-04 14:00:00,16,48,1.7752357111044832,2.92935364289056,15
2022-11-04 15:00:00,15,35,1.5479050574125766,2.7220390059633104,12
2022-11-04 16:00:00,33,84,1.9047491985362384,2.8871635954849095,26
2022-11-04 17:00:00,32,77,2.1254698846372406,2.9930903274831326,25
2022-11-04 18:00:00,24,53,1.6213474309516551,2.8404490060730314,17
2022-11-04 19:00:00,19,44,2.0432547406268,2.9998453672609906,16
2022-11-04 20:00:00,24,52,1.9753232347384964,2.9998453672609906,20
2022-11-04 21:00:00,38,90,1.9704624419540577,2.997215567171587,30
2022-11-04 22:00:00,42,115,1.937504613114267,2.968617963285602,29
2022-11-04 23:00:00,35,100,1.8744702484028188,2.932425645854431,28
2022-11-05 00:00:00,41,105,2.057749764854318,2.9998453672609906,31
2022-11-05 01:00:00,41,107,1.91475545825666,2.945957546846371,33
2022-11-05 02:00:00,34,87,2.0996219520591777,2.9356616281546843,28
2022-11-05 03:00:00,40,102,2.190335781502247,2.9611027332660997,33
2022-11-05 04:00:00,55,144,2.2894155763508235,2.9591636216614146,42
2022-11-05 05:00:00,51,159,2.30015270381531,2.937223062768421,35
2022-11-05 06:00:00,56,166,2.288815977615491,2.993283236673996,39
2022-11-05 07:00:00,56,158,2.192044703907475,2.940501588106303,37
2022-11-05 08:00:00,53,130,2.1803166035653767,2.8975139983997646,50
2022-11-05 09:00:00,42,129,2.1279195772485178,2.993283236673996,35
2022-11-05 10:00:00,35,95,2.2039114379923093,2.9524961356260686,26
2022-11-05 11:00:00,24,60,2.005596463836009,2.928930205872771,19
2022-11-05 12:00:00,34,66,1.7037356554031309,2.5472526615360485,31
2022-11-05 13:00:00,26,56,2.008216800350031,2.887230567456605,25
2022-11-05 14:00:00,25,53,1.6353520867761535,2.8069763849884515,24
2022-11-05 15:00:00,29,62,1.5856144461565351,2.9236341809469266,27
2022-11-05 16:00:00,30,78,1.9543197541484392,2.949600215807047,23
2022-11-05 17:00:00,31,86,1.9112683770883234,2.9516951148844,24
2022-11-05 18:00:00,29,75,1.6099859546133621,2.887230567456605,26
2022-11-05 19:00:00,33,77,1.9982752454560473,2.9880650135376294,30
2022-11-05 20:00:00,29,83,1.9991603338420707,2.9836441202748905,25
2022-11-05 21:00:00,30,87,1.704830876889762,2.9216114784453415,27
2022-11-05 22:00:00,32,97,2.1376581555139893,2.994014281000683,22
2022-11-05 23:00:00,40,106,1.7658417641816295,2.9629581818438506,31
2022-11-06 00:00:00,35,91,1.7112204842286698,2.992374345819115,27
2022-11-06 01:00:00,42,100,2.0293986900996366,2.9844765786739114,37
2022-11-06 02:00:00,48,132,2.145974659267686,2.9844765786739114,35
2022-11-06 03:00:00,55,151,2.0797432858572655,2.941599321578124,41
2022-11-06 04:00:00,63,160,2.0469611979366515,2.941599321578124,48
2022-11-06 05:00:00,64,166,1.9999757356911048,2.972286011954123,45
2022-11-06 06:00:00,63,182,1.909081607298992,2.975217883381519,41
2022-11-06 07:00:00,66,189,2.0302893667989714,2.999742697357236,46
2022-11-06 08:00:00,55,159,2.1069136785682674,2.975217883381519,37
2022-11-06 09:00:00,50,150,1.9783738960885087,2.9873363892474165,38
2022-11-06 10:00:00,44,132,1.8688754521674915,2.934718675343973,39
2022-11-06 11:00:00,48,125,2.063886676358662,2.999742697357236,37
2022-11-06 12:00:00,35,87,2.150886084805527,2.975217883381519,31
2022-11-06 13:00:00,38,92,2.0600316281688116,2.97404121884825,31
2022-11-06 14:00:00,28,85,1.80478932282044,2.9472601405543273,25
2022-11-06 15:00:00,38,96,1.690995536712094,2.972286011954123,32
2022-11-06 16:00:00,36,91,1.6697754838113184,2.994092093540302,30
2022-11-06 17:00:00,23,58,2.1074911840297044,2.946560511388148,20
2022-11-06 18:00:00,35,87,1.9924542920711312,2.968149458166557,24
2022-11-06 19:00:00,31,106,2.1461495457477513,2.9282384263944743,16
2022-11-06 20:00:00,29,98,2.013287737056942,2.9739082685578304,17
2022-11-06 21:00:00,27,94,1.8033822415636804,2.920072928065539,16
2022-11-06 22:00:00,36,110,2.05138711620239,2.9739082685578304,26
2022-11-06 23:00:00,41,123,1.9728632659254273,2.999742697357236,27
2022-11-07 00:00:00,40,137,2.12022771503399,2.9853283521741942,22
2022-11-07 01:00:00,46,144,2.215423662631802,2.9739082685578304,27
2022-11-07 02:00:00,56,153,2.1269636596561976,2.969187562532279,37
2022-11-07 03:00:00,51,158,2.1610032117769884,2.9529999536181255,32
2022-11-07 04:00:00,53,167,2.1302350024425034,2.9520557460431522,32
2022-11-07 05:00:00,49,148,2.124800147336195,2.9520557460431522,30
2022-11-07 06:00:00,51,142,2.1557454167264463,2.9739082685578304,34
2022-11-07 07:00:00,41,108,2.1253173292597762,2.9921042254955874,34
2022-11-07 08:00:00,25,64,1.9481153523814203,2.961741483940063,21
2022-11-07 09:00:00,35,83,1.7157221685710746,2.9933138448249914,26
2022-11-07 10:00:00,45,117,1.6017159392279066,2.9764377809400178,33
2022-11-07 11:00:00,49,117,1.4326991044945894,2.9512440739689603,39
2022-11-07 12:00:00,43,131,1.4701950886182658,2.8945554225815266,33
2022-11-07 13:00:00,43,133,1.4429075981880422,2.925015686017265,28
2022-11-07 14:00:00,31,75,1.7089083194279007,2.9529999536181255,26
2022-11-07 15:00:00,30,62,1.6282649746021585,2.8614504324918655,29
2022-11-07 16:00:00,27,58,1.35224343970942,2.9129502812301573,23
2022-11-07 17:00:00,20,33,1.6120891189558137,2.7212468230327076,20
2022-11-07 18:00:00,12,29,2.24678428008234,2.9512440739689603,10
2022-11-07 19:00:00,26,78,1.9294675183603602,2.967878386154807,16
2022-11-07 20:00:00,33,103,2.249615856317336,2.988532001888316,19
2022-11-07 21:00:00,48,133,2.1340180352795666,2.98663980259526,31
2022-11-07 22:00:00,50,153,2.252180705276176,2.993283236673996,36
2022-11-07 23:00:00,59,191,2.1969318054817033,2.95970493023988,36
2022-11-08 00:00:00,69,195,2.158889632752038,2.95970493023988,42
2022-11-08 01:00:00,71,211,2.174630549987829,2.9858438437604904,45
2022-11-08 02:00:00,77,222,2.1342442245193594,2.95970493023988,49
2022-11-08 03:00:00,73,221,2.2082673330697506,2.9677369343211306,44
2022-11-08 04:00:00,72,222,2.150350808863161,2.9529999536181255,40
2022-11-08 05:00:00,68,209,2.1486564218399233,2.975217883381519,45
2022-11-08 06:00:00,65,180,2.1485197990072478,2.948671018659574,48
2022-11-08 07:00:00,43,104,1.8077611635992317,2.9285305616729094,42
2022-11-08 08:00:00,17,39,2.09803208335081,2.980398162527081,17
2022-11-08 09:00:00,19,50,1.6378828572284552,2.7204868446649457,11
2022-11-08 10:00:00,36,93,1.6066340585288286,2.7306635228740403,25
2022-11-08 13:00:00,51,124,1.4762165241069005,2.9033257736967655,39
2022-11-08 14:00:00,38,81,1.585045679114766,2.853480009304101,33
2022-11-08 15:00:00,21,45,1.8278532844038875,2.990347042620198,17
2022-11-08 16:00:00,20,45,1.5037883114037365,2.541085581119669,18
2022-11-08 17:00:00,24,63,1.8149809172626938,2.8967489905236095,21
2022-11-08 18:00:00,25,72,1.956625701839626,2.851915086331982,17
2022-11-08 19:00:00,30,65,2.459281607977584,2.9873363892474165,25
2022-11-08 20:00:00,28,81,2.343987421182338,2.967565539506262,15
2022-11-08 21:00:00,37,100,2.2440270374875553,2.967565539506262,24
2022-11-08 22:00:00,50,154,2.353332452701867,2.992985815176507,26
2022-11-08 23:00:00,52,155,2.2766856386751155,2.95970493023988,24
2022-11-09 00:00:00,46,149,2.106068311430564,2.9837264523343774,19
2022-11-09 01:00:00,38,127,2.1971471707579386,2.986741722729922,21
2022-11-09 02:00:00,41,112,2.15881834711421,2.9853283521741942,28
2022-11-09 03:00:00,47,120,2.317533142061246,2.9853283521741942,33
2022-11-09 04:00:00,53,137,2.3081628859922794,2.958479470372534,34
2022-11-09 05:00:00,50,149,2.2717591891973266,2.9635343777545144,30
2022-11-09 06:00:00,53,151,2.3069228548829552,2.9883092036134644,35
2022-11-09 07:00:00,52,127,2.456895454066184,2.9635343777545144,38
2022-11-09 08:00:00,43,109,2.3694403927673373,2.905966247971999,32
2022-11-09 09:00:00,42,91,2.3514694599764496,2.9849275983981993,38
2022-11-09 10:00:00,35,79,2.4185297735685105,2.913120796387579,31
2022-11-09 11:00:00,25,61,2.0723604804102527,2.960947464442152,21
2022-11-09 12:00:00,32,75,2.224855002925459,2.9849275983981993,28
2022-11-09 13:00:00,26,56,2.3113362638407855,2.9849275983981993,25
2022-11-09 14:00:00,28,62,2.0780590016301193,2.8614504324918655,27
2022-11-09 15:00:00,34,83,2.07035953376583,2.994419135717356,24
2022-11-09 16:00:00,38,89,2.215798207444239,2.9059405516415517,30
