station_id,departures,arrivals,total_activity,net_arrivals,absolute_net_flow,departure_share,station_name,address,latitude,longitude
43,5836,5941,11777,105,105,0.49554215844442556,39 - Plaza de la Cebada,'Plaza de la Cebada nº 16 ',40.4112744,-3.7088337
57,5534,5492,11026,-42,42,0.5019045891529113,53 - Plaza de Lavapiés,'Calle Valencia nº 1',40.4083061,-3.7007111
220,4155,4451,8606,296,296,0.48280269579363233,212 - Marqués de Vadillo,'Glorieta Marqués de Vadillo nº 9',40.398247,-3.716591
175,4198,4316,8514,118,118,0.4930702372562838,167 - Segovia 45,'Calle Segovia nº 45',40.413736,-3.717487
49,4010,4061,8071,51,51,0.49684054020567464,45 - Puerta de Toledo,'Glorieta de la Puerta de Toledo nº 1',40.4070358,-3.7110513
45,3668,3747,7415,79,79,0.49467296021577883,41 - Antón Martín,'Calle Atocha nº 54',40.4122047,-3.6991147
41,3588,3683,7271,95,95,0.49346719845963416,37 - Plaza de San Francisco,'Plaza de San Francisco nº 5',40.4108,-3.714113
208,3573,3644,7217,71,71,0.49508105861161145,200 - Quevedo,'Glorieta de Quevedo nº 5',40.4336944,-3.7046666
59,3425,3417,6842,-8,8,0.5005846243788366,55 - Plaza de San Ildefonso,'Plaza de San Ildefonso',40.4239757,-3.7020842
62,3397,3437,6834,40,40,0.4970734562481709,58 - Augusto Figueroa,'Calle Augusto Figueroa nº 33',40.4222862,-3.697895
254,3407,3356,6763,-51,51,0.5037705160431761,246 - Santa Engracia 87,'Calle Santa Engracia nº 87',40.43604,-3.69928
129,3266,3380,6646,114,114,0.4914234125789949,121 - Santa María de la Cabeza,'Paseo de Santa María de la Cabeza nº 58',40.4017926,-3.6987665
244,3225,3346,6571,121,121,0.49079287779637804,236 - Paseo Imperial,'Paseo Imperial nº 20',40.40765396169372,-3.7172213778842007
64,3260,3275,6535,15,15,0.49885233358837033,60 - Plaza de la Independencia,'Plaza de la Independencia nº 6',40.419752,-3.688398
149,3336,3122,6458,-214,214,0.516568597088882,132 - Glorieta de los Cuatro Caminos,'Calle Santa Engracia nº 168',40.4463667,-3.7036675
90,3235,3155,6390,-80,80,0.5062597809076682,85 - Puerta de Madrid,'Avenida de Menéndez Pelayo esquina calle O'Donnell',40.421501,-3.680008
13,3131,3105,6236,-26,26,0.5020846696600385,12 - San Hermenegildo,'Calle San Bernardo nº 85',40.4284246,-3.7061931
79,2981,3143,6124,162,162,0.48677335075114303,75 - Menéndez Pelayo,'Avenida de Menéndez Pelayo con calle Poeta Esteban Villegas',40.4082805,-3.6784838
132,2757,3313,6070,556,556,0.45420098846787477,161 - Paseo de la Florida,'Paseo de la Florida nº 8',40.4219665,-3.7224983
42,2981,3052,6033,71,71,0.49411569699983426,38 - Plaza de los Carros,'Carrera de San Francisco nº 1',40.4114041,-3.7114762
30,3000,3016,6016,16,16,0.49867021276595747,26 - Plaza de las Salesas,'Plaza de las Salesas 7',40.423855,-3.694475
58,3014,2965,5979,-49,49,0.5040976751965212,54 - Barceló,'Calle Barceló nº 7',40.4266828,-3.700423
224,2778,3191,5969,413,413,0.46540459038364884,216 - Puerta del Ángel,'Plaza Puerta del Ángel nº 4',40.413764,-3.728318
163,2977,2987,5964,10,10,0.49916163648558015,126 - General Álvarez de Castro,'Calle del General Álvarez de Castro nº 1',40.4344731,-3.7015686
157,2986,2971,5957,-15,15,0.5012590229981534,130 - Santa Engracia 127,'Calle Santa Engracia nº 127',40.44156,-3.70164
204,2983,2969,5952,-14,14,0.5011760752688172,196 - Prosperidad,'Calle Suero de Quiñones nº 2',40.4441388,-3.6751388
9,2958,2920,5878,-38,38,0.5032323919700579,8 - Alonso Martínez,'Plaza de Alonso Martínez nº 5',40.4278682,-3.6954403
189,2987,2883,5870,-104,104,0.5088586030664395,181 - Retiro-Ibiza,'Calle Ibiza nº 18',40.41825,-3.6766111
168,2898,2962,5860,64,64,0.4945392491467577,127 - Fernando el Católico,'Calle Fernando el Católico nº 19',40.4338516,-3.708439
