date,trips,first_trip,last_trip,observed_hours,station_to_station_trips,same_station_trips,complete_day,observed_day,month,weekday_number,weekday
2023-01-01,5007,2023-01-01 00:01:08,2023-01-01 23:59:46,24,4986,1674,True,True,2023-01,6,domingo
2023-01-02,7148,2023-01-02 00:00:31,2023-01-02 23:59:43,24,7112,1838,True,True,2023-01,0,lunes
2023-01-03,9479,2023-01-03 00:00:32,2023-01-03 23:59:54,24,9443,2805,True,True,2023-01,1,martes
2023-01-04,10444,2023-01-04 00:00:02,2023-01-04 23:59:40,24,10408,3272,True,True,2023-01,2,miércoles
2023-01-05,9880,2023-01-05 00:00:17,2023-01-05 23:59:58,24,9835,2920,True,True,2023-01,3,jueves
2023-01-06,5633,2023-01-06 00:00:01,2023-01-06 23:59:59,24,5603,1915,True,True,2023-01,4,viernes
2023-01-07,5926,2023-01-07 00:00:08,2023-01-07 23:59:34,24,5903,2096,True,True,2023-01,5,sábado
2023-01-08,3294,2023-01-08 00:00:30,2023-01-08 23:59:38,24,3282,859,True,True,2023-01,6,domingo
2023-01-09,10983,2023-01-09 00:00:24,2023-01-09 23:59:46,24,10939,3057,True,True,2023-01,0,lunes
2023-01-10,12613,2023-01-10 00:00:59,2023-01-10 23:59:45,24,12554,3998,True,True,2023-01,1,martes
2023-01-11,12304,2023-01-11 00:00:02,2023-01-11 23:59:57,24,12251,3856,True,True,2023-01,2,miércoles
2023-01-12,13362,2023-01-12 00:00:01,2023-01-12 23:59:37,24,13321,4587,True,True,2023-01,3,jueves
2023-01-13,12829,2023-01-13 00:00:02,2023-01-13 23:59:51,24,12783,3877,True,True,2023-01,4,viernes
2023-01-14,10050,2023-01-14 00:00:06,2023-01-14 23:59:55,24,10024,3329,True,True,2023-01,5,sábado
2023-01-15,8278,2023-01-15 00:00:04,2023-01-15 23:59:53,24,8249,2714,True,True,2023-01,6,domingo
2023-01-16,9424,2023-01-16 00:00:02,2023-01-16 23:59:56,24,9397,3110,True,True,2023-01,0,lunes
2023-01-17,9832,2023-01-17 00:00:16,2023-01-17 23:59:56,24,9783,3045,True,True,2023-01,1,martes
2023-01-18,11755,2023-01-18 00:00:05,2023-01-18 23:59:49,24,11708,4309,True,True,2023-01,2,miércoles
2023-01-19,9868,2023-01-19 00:00:13,2023-01-19 23:59:57,24,9826,3362,True,True,2023-01,3,jueves
2023-01-20,11040,2023-01-20 00:00:05,2023-01-20 23:59:58,24,11008,2601,True,True,2023-01,4,viernes
2023-01-21,9040,2023-01-21 00:00:20,2023-01-21 23:59:51,24,9017,2720,True,True,2023-01,5,sábado
2023-01-22,7340,2023-01-22 00:00:16,2023-01-22 23:59:53,24,7307,2477,True,True,2023-01,6,domingo
2023-01-23,10231,2023-01-23 00:00:04,2023-01-23 23:59:32,24,10179,3740,True,True,2023-01,0,lunes
2023-01-24,11240,2023-01-24 00:00:46,2023-01-24 23:59:49,24,11208,4130,True,True,2023-01,1,martes
2023-01-25,11688,2023-01-25 00:00:12,2023-01-25 23:59:40,24,11655,3914,True,True,2023-01,2,miércoles
2023-01-26,11478,2023-01-26 00:00:12,2023-01-26 23:59:55,24,11427,3641,True,True,2023-01,3,jueves
2023-01-27,10273,2023-01-27 00:00:15,2023-01-27 23:59:50,24,10240,3486,True,True,2023-01,4,viernes
2023-01-28,7885,2023-01-28 00:00:08,2023-01-28 23:59:04,24,7865,2478,True,True,2023-01,5,sábado
2023-01-29,7049,2023-01-29 00:00:33,2023-01-29 23:59:51,24,7031,2492,True,True,2023-01,6,domingo
2023-01-30,9926,2023-01-30 00:00:06,2023-01-30 23:59:22,24,9882,3528,True,True,2023-01,0,lunes
2023-01-31,10624,2023-01-31 00:00:55,2023-01-31 23:59:44,24,10594,3464,True,True,2023-01,1,martes
2023-02-01,11442,2023-02-01 00:00:10,2023-02-01 23:59:46,24,11389,3145,True,True,2023-02,2,miércoles
2023-02-02,11069,2023-02-02 00:00:04,2023-02-02 23:59:59,24,11030,2751,True,True,2023-02,3,jueves
2023-02-03,10166,2023-02-03 00:00:05,2023-02-03 23:59:49,24,10133,2556,True,True,2023-02,4,viernes
2023-02-04,8903,2023-02-04 00:00:23,2023-02-04 23:59:27,24,8871,2229,True,True,2023-02,5,sábado
2023-02-05,8026,2023-02-05 00:00:12,2023-02-05 23:59:30,24,7988,1959,True,True,2023-02,6,domingo
2023-02-06,10118,2023-02-06 00:00:03,2023-02-06 23:59:16,24,10071,2710,True,True,2023-02,0,lunes
2023-02-07,8986,2023-02-07 00:00:33,2023-02-07 23:58:56,24,8949,2470,True,True,2023-02,1,martes
2023-02-08,10576,2023-02-08 00:00:04,2023-02-08 23:59:34,24,10547,2612,True,True,2023-02,2,miércoles
2023-02-09,10814,2023-02-09 00:00:04,2023-02-09 23:59:37,24,10767,2543,True,True,2023-02,3,jueves
2023-02-10,10579,2023-02-10 00:00:06,2023-02-10 23:59:52,24,10544,2753,True,True,2023-02,4,viernes
2023-02-11,8383,2023-02-11 00:00:07,2023-02-11 23:59:57,24,8357,2377,True,True,2023-02,5,sábado
2023-02-12,7801,2023-02-12 00:00:15,2023-02-12 23:59:47,24,7778,2148,True,True,2023-02,6,domingo
