index,month,weekday,trips,mean_trips_per_day,median_trips_per_day,days
0,2023-01,lunes,47712,9542.4,9926.0,5
1,2023-01,martes,53788,10757.6,10624.0,5
2,2023-01,miércoles,46191,11547.75,11721.5,4
3,2023-01,jueves,44588,11147.0,10679.0,4
4,2023-01,viernes,39775,9943.75,10656.5,4
5,2023-01,sábado,32901,8225.25,8462.5,4
6,2023-01,domingo,30968,6193.6,7049.0,5
7,2023-02,lunes,19920,9960.0,9960.0,2
8,2023-02,martes,19327,9663.5,9663.5,2
9,2023-02,miércoles,32784,10928.0,10766.0,3
10,2023-02,jueves,31567,10522.333333333334,10814.0,3
11,2023-02,viernes,30812,10270.666666666666,10166.0,3
12,2023-02,sábado,17286,8643.0,8643.0,2
13,2023-02,domingo,15827,7913.5,7913.5,2
