month,hour,trips,complete_days,mean_trips_per_complete_day
2023-01,0,6858,31,221.2258064516129
2023-01,1,4740,31,152.90322580645162
2023-01,2,3852,31,124.25806451612904
2023-01,3,2656,31,85.6774193548387
2023-01,4,2413,31,77.83870967741936
2023-01,5,2748,31,88.64516129032258
2023-01,6,3580,31,115.48387096774194
2023-01,7,9525,31,307.258064516129
2023-01,8,20623,31,665.258064516129
2023-01,9,20106,31,648.5806451612904
2023-01,10,12133,31,391.38709677419354
2023-01,11,12108,31,390.5806451612903
2023-01,12,13206,31,426.0
2023-01,13,15827,31,510.5483870967742
2023-01,14,20513,31,661.7096774193549
2023-01,15,18117,31,584.4193548387096
2023-01,16,17080,31,550.9677419354839
2023-01,17,18841,31,607.7741935483871
2023-01,18,22336,31,720.516129032258
2023-01,19,21380,31,689.6774193548387
2023-01,20,17713,31,571.3870967741935
2023-01,21,12884,31,415.61290322580646
2023-01,22,8713,31,281.06451612903226
2023-01,23,7971,31,257.1290322580645
2023-02,0,3646,17,214.47058823529412
2023-02,1,2266,17,133.2941176470588
2023-02,2,1825,17,107.3529411764706
2023-02,3,1236,17,72.70588235294117
2023-02,4,1142,17,67.17647058823529
2023-02,5,1377,17,81.0
2023-02,6,1796,17,105.6470588235294
2023-02,7,5485,17,322.6470588235294
2023-02,8,12258,17,721.0588235294117
2023-02,9,11591,17,681.8235294117648
2023-02,10,6705,17,394.4117647058824
2023-02,11,6489,17,381.70588235294116
2023-02,12,7060,17,415.29411764705884
2023-02,13,8739,17,514.0588235294117
2023-02,14,11884,17,699.0588235294117
2023-02,15,10930,17,642.9411764705883
2023-02,16,10083,17,593.1176470588235
2023-02,17,11024,17,648.4705882352941
2023-02,18,13049,17,767.5882352941177
2023-02,19,12195,17,717.3529411764706
2023-02,20,10115,17,595.0
2023-02,21,7269,17,427.5882352941176
2023-02,22,5012,17,294.8235294117647
2023-02,23,4347,17,255.7058823529412
